Tract,2019_possible_unclear,2019_yes,2020_possible_unclear,2020_yes,2021_possible_unclear,2021_yes,2022_possible_unclear,2022_yes,2023_possible_unclear,2023_yes,all
Census Tract 101,0,0,0,0,0,1,0,0,0,0,1
Census Tract 102.01,0,1,0,0,1,0,0,0,0,1,3
Census Tract 102.02,0,0,1,0,0,0,0,0,0,1,2
Census Tract 103.01,0,0,0,0,0,0,0,0,0,1,1
Census Tract 103.03,0,0,0,0,1,1,1,0,0,1,4
Census Tract 104.01,0,0,1,0,0,0,0,0,0,1,2
Census Tract 104.02,0,0,1,1,0,1,0,1,0,0,4
Census Tract 105.01,0,0,0,0,1,0,1,0,0,0,2
Census Tract 105.02,0,1,0,1,0,2,1,1,0,0,6
Census Tract 106.02,0,0,0,0,0,1,0,0,0,0,1
Census Tract 106.03,0,0,0,1,1,4,1,2,0,0,9
Census Tract 106.04,1,0,3,1,0,0,0,1,3,1,10
Census Tract 107.01,1,0,1,1,2,2,0,1,0,0,8
Census Tract 107.02,0,0,0,2,0,0,1,2,0,1,6
Census Tract 108.01,0,0,0,1,0,2,1,0,0,0,4
Census Tract 108.02,0,0,0,0,0,2,0,1,0,1,4
Census Tract 110,0,0,0,0,1,1,0,0,0,0,2
Census Tract 111.01,1,0,2,0,0,0,0,0,1,0,4
Census Tract 112.01,0,0,0,1,0,1,0,0,0,0,2
Census Tract 112.02,0,0,0,0,1,0,0,0,0,0,1
Census Tract 113.01,0,1,0,1,1,1,1,0,1,0,6
Census Tract 113.02,0,1,1,0,0,3,0,0,1,0,6
Census Tract 113.03,0,0,2,1,0,0,0,3,0,3,9
Census Tract 114,0,1,0,0,0,0,4,2,0,1,8
Fluvanna County,1,1,0,0,1,3,1,0,1,1,9
All,4,6,12,11,10,25,12,14,7,13,114
