GEOID_TRACT_10,ahdi_2019,lifeexp_est_2019,hs_grad_per_2019,bac_deg_per_2019,grad_deg_per_2019,enrollment_per_2019,med_earnings_2019,GEOID_TRACT_20,tractnames_2020,fullname_2020,tractnames_2019,fullname_2019,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings
51003010100,7.2,84.3,92.6,47.6,20.9,84.9,45449,51003010100,Free Union,Census Tract 101,Free Union,Census Tract 101,Free Union,7.5,84.3,93.83,57.37,29.43,79.81,55581
51003010201,6.3,77.3,94.8,50.4,23.9,89.9,42083,51003010201,Charlottesville-Albemarle Airport,Census Tract 102.01,Charlottesville-Albemarle Airport,Census Tract 102.01,Charlottesville-Albemarle Airport,6.9,77.3,98.47,59.56,28.59,84.82,58836
51003010202,8.2,80.9,95.9,69.5,42.4,92,58380,51003010202,Earlysville,Census Tract 102.02,Earlysville,Census Tract 102.02,Earlysville,8.7,80.9,98.41,74.06,42.55,96.83,73841
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010301,Berkmar Drive,Census Tract 103.01,Hollymead,Census Tract 103,Berkmar Drive,6.2,81.9,92.34,46.94,23.82,69.74,46673
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010302,Polo Grounds Road,Census Tract 103.02,Hollymead,Census Tract 103,Polo Grounds Road,8.8,81.9,97.42,67.28,27.13,94.07,87790
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010303,Hollymead,Census Tract 103.03,Hollymead,Census Tract 103,Hollymead,7.6,81.9,97.03,57.21,25.17,90.16,59394
51003010401,5.8,80.6,90.8,45.1,19.6,65.1,41712,51003010401,Stony Point-Keswick,Census Tract 104.01,Stony Point and Keswick,Census Tract 104.01,Stony Point-Keswick,6.5,80.6,89.19,50.61,16.61,74.5,56361
51003010402,7.8,83.7,92.2,61.7,28.4,87.3,50270,51003010402,Village of Rivanna,Census Tract 104.02,Village of Rivanna,Census Tract 104.02,Village of Rivanna,8.2,83.7,96.01,63.32,33.84,89.65,62105
51003010500,7.7,82.8,93.3,63.1,28.6,86.6,50673,51003010501,Darden-Key West,Census Tract 105.01,Pantops,Census Tract 105,Darden-Key West,8.1,82.8,96.89,66.13,29.71,87.89,64310
51003010500,7.7,82.8,93.3,63.1,28.6,86.6,50673,51003010502,Pantops,Census Tract 105.02,Pantops,Census Tract 105,Pantops,7.2,82.8,96.75,62.85,26,79.87,50985
51003010601,5.7,79.7,90.3,51.8,29.5,64.9,38500,51003010603,Branchland,Census Tract 106.03,Branchland to Carrsbrook,Census Tract 106.01,Branchland,6.5,79.7,92.22,58.31,25.88,71.43,55132
51003010601,5.7,79.7,90.3,51.8,29.5,64.9,38500,51003010604,Woodbrook-Carrsbrook,Census Tract 106.04,Branchland to Carrsbrook,Census Tract 106.01,Woodbrook-Carrsbrook,6.9,79.7,83.89,57.03,30.27,85.84,54955
51003010602,7.1,80.2,96.8,65.8,30.3,83.6,45683,51003010602,Dunlora-Stone Henge,Census Tract 106.02,Pen Park-Dunlora,Census Tract 106.02,Dunlora-Stone Henge,8.1,80.2,98.32,70.62,36.63,93.34,64800
