GEOID,county,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
51540000201,Charlottesville,Rose Hill-Harris-Venable,5.236741468051255,77,89.81,54.3,24.34,81.67,34093,4.583333333333333,7.896666666666667,6.191428571428572,7.328253968253969,3.7986371025664627
51540000202,Charlottesville,10th & Page-Venable,2.352418639687711,77,85.62,51.17,34.21,90.67,8508,4.583333333333333,8.066666666666668,8.762857142857143,8.298730158730159,-5.824807573000358
51540000302,Charlottesville,Woolen Mills,6.389890938325901,81.8,94.1,53.6,29.23,76.92,42542,6.583333333333332,8.462,4.8342857142857145,7.252761904761904,5.333577576882464
51540000401,Charlottesville,Ridge St.,4.927151262484735,73.6,90.51,42.85,20.34,80.88,40645,3.1666666666666643,6.913333333333335,5.965714285714284,6.5974603174603175,5.017326803327221
51540000402,Charlottesville,Belmont,5.703547816883564,75.6,88.87,51.22,24.06,85.22,44435,3.9999999999999973,7.61,7.2057142857142855,7.475238095238095,5.635405355412598
51540000501,Charlottesville,Fifeville-Cherry Avenue,5.14972216735102,75.6,88.5,36.18,13.87,87.23,40080,3.9999999999999973,5.903333333333332,7.780000000000001,6.528888888888888,4.920277613164174
51540000502,Charlottesville,Fry's Springs,7.26907120954746,81.7,96.78,72.96,39.65,67.46,57905,6.541666666666668,10.626,2.13142857142857,7.79447619047619,7.471070771499525
51540000600,Charlottesville,JPA-Fontaine,4.16282403083358,82.7,94.8,67.06,37.7,96.25,10197,6.958333333333334,9.970666666666666,10.357142857142858,10.099492063492063,-4.5693533043246575
51540000700,Charlottesville,Barracks-Rugby,6.11147108852359,82.7,95.86,81.51,52.94,87.28,22008,6.958333333333334,12.020666666666669,7.7942857142857145,10.611873015873018,0.7642069163644178
51540000800,Charlottesville,Greenbrier-Meadows,7.184662072573574,79.8,90.2,58.81,24.97,92.39,55757,5.749999999999998,8.265333333333334,9.254285714285714,8.594984126984127,7.209002090736599
51540000900,Charlottesville,Locust Grove,8.177358435070714,84.1,89.51,64.29,30.56,97.16,57978,7.541666666666664,8.957333333333333,10.617142857142856,9.510603174603173,7.479805463942302
51540001000,Charlottesville,Downtown Area,7.416628679780902,81.9,97.26,78.26,45.85,72.92,52396,6.625000000000002,11.424666666666667,3.691428571428572,8.846920634920636,6.777965404422066
