GEOID,county,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
51540000201,Charlottesville,Rose Hill-Harris-Venable,5.5087065843346155,77,91.53,58.11,30.51,80.73,36042,4.583333333333333,8.676666666666666,5.922857142857144,7.758730158730158,4.184056260940357
51540000202,Charlottesville,10th & Page-Venable,2.034839865108811,77,89.53,50.34,36.15,91.36,7113,4.583333333333333,8.401333333333334,8.96,8.587555555555555,-7.066369293562456
51540000302,Charlottesville,Woolen Mills,6.73187790122352,81.8,95.08,56.31,32.03,77.23,47116,6.583333333333332,8.894666666666668,4.9228571428571435,7.570730158730159,6.041570211607069
51540000401,Charlottesville,Ridge St.,5.092421519863467,73.6,89.16,43.07,20.34,82.89,42778,3.1666666666666643,6.838000000000001,6.54,6.738666666666667,5.371931226257067
51540000402,Charlottesville,Belmont,6.184543898881567,75.6,87.13,56.77,32.82,84.51,50975,3.9999999999999973,8.448,7.002857142857144,7.966285714285714,6.587345982358989
51540000501,Charlottesville,Fifeville-Cherry Avenue,5.212652221237196,75.6,90.17,35.79,15.34,86.74,40740,3.9999999999999973,6.086666666666667,7.639999999999999,6.604444444444444,5.033512219267147
51540000502,Charlottesville,Fry's Springs,7.845734695231954,81.7,98,75.27,43.74,75.72,63182,6.541666666666668,11.133999999999997,4.491428571428571,8.919809523809521,8.075727895219671
51540000600,Charlottesville,JPA-Fontaine,4.0585784178274755,82.7,95.49,72.81,41.25,93.42,9505,6.958333333333334,10.636666666666665,9.54857142857143,10.273968253968253,-5.05656633381916
51540000700,Charlottesville,Barracks-Rugby,6.313483609984363,82.7,97.07,77.46,51.87,86.32,24955,6.958333333333334,11.76,7.519999999999998,10.346666666666666,1.63545082995309
51540000800,Charlottesville,Greenbrier-Meadows,7.74089129343993,79.8,90.54,60.88,26.53,91.22,70268,5.749999999999998,8.530000000000001,8.92,8.66,8.812673880319789
51540000900,Charlottesville,Locust Grove,7.815790334349295,84.1,89.97,62.1,25.25,93.59,54477,7.541666666666664,8.488,9.597142857142858,8.857714285714286,7.047990050666934
51540001000,Charlottesville,Downtown Area,7.704125842028407,81.9,97.13,78.15,45.96,76.19,56778,6.625000000000002,11.416000000000002,4.6257142857142854,9.152571428571429,7.334806097513791
