year,level,division,subgroup,count_below_10,count_above_10,percent_below_10,percent_above_10
2023 - 2024,DIV,Albemarle County Public Schools,All Students,11831,1703,87.4,12.6
2023 - 2024,DIV,Albemarle County Public Schools,American Indian,15,2,88.2,11.8
2023 - 2024,DIV,Albemarle County Public Schools,Asian,790,54,93.6,6.4
2023 - 2024,DIV,Albemarle County Public Schools,Black,1244,325,79.3,20.7
2023 - 2024,DIV,Albemarle County Public Schools,Economically Disadvantaged,3445,1058,76.5,23.5
2023 - 2024,DIV,Albemarle County Public Schools,Female,5689,831,87.3,12.7
2023 - 2024,DIV,Albemarle County Public Schools,Hispanic,1804,466,79.5,20.5
2023 - 2024,DIV,Albemarle County Public Schools,Male,6132,868,87.6,12.4
2023 - 2024,DIV,Albemarle County Public Schools,Multiple Races,817,137,85.6,14.4
2023 - 2024,DIV,Albemarle County Public Schools,Native Hawaiian,NA,NA,NA,NA
2023 - 2024,DIV,Albemarle County Public Schools,Students with Disabilities,1434,341,80.8,19.2
2023 - 2024,DIV,Albemarle County Public Schools,White,7154,719,90.9,9.1
