GEOID,locality,estimate,moe,total_pop,percent,year,label
51003,"Albemarle County, Virginia",6348,401.3838561775996,99484,6.38,2012,10 to 14 years
51003,"Albemarle County, Virginia",9085,370.26206935088555,99484,9.13,2012,15 to 19 years
51003,"Albemarle County, Virginia",7060,662.1004455518815,99484,7.1,2012,20 to 24 years
51003,"Albemarle County, Virginia",12298,261.75943153972503,99484,12.36,2012,25 to 34 years
51003,"Albemarle County, Virginia",12182,600.7353826769321,99484,12.25,2012,35 to 44 years
51003,"Albemarle County, Virginia",14111,211.24630174277607,99484,14.18,2012,45 to 54 years
51003,"Albemarle County, Virginia",5926,413.36303656713187,99484,5.96,2012,5 to 9 years
51003,"Albemarle County, Virginia",6993,350.03571246374275,99484,7.03,2012,55 to 59 years
51003,"Albemarle County, Virginia",5400,417.6864852972861,99484,5.43,2012,60 to 64 years
51003,"Albemarle County, Virginia",7441,454.74168491573323,99484,7.48,2012,65 to 74 years
51003,"Albemarle County, Virginia",5003,364.04670030093666,99484,5.03,2012,75 to 84 years
51003,"Albemarle County, Virginia",1997,222.62299971027252,99484,2.01,2012,85 years and over
51003,"Albemarle County, Virginia",5640,51.03920062069938,99484,5.67,2012,Under 5 years
51003,"Albemarle County, Virginia",6448,475.20942751591116,112513,5.73,2022,10 to 14 years
51003,"Albemarle County, Virginia",10805,481.37303622035165,112513,9.6,2022,15 to 19 years
51003,"Albemarle County, Virginia",6669,540.9454686010412,112513,5.93,2022,20 to 24 years
51003,"Albemarle County, Virginia",14023,197.47911281955874,112513,12.46,2022,25 to 34 years
51003,"Albemarle County, Virginia",13608,700.9329497177316,112513,12.09,2022,35 to 44 years
51003,"Albemarle County, Virginia",12775,176.61257033405067,112513,11.35,2022,45 to 54 years
51003,"Albemarle County, Virginia",5989,473.06764843941716,112513,5.32,2022,5 to 9 years
51003,"Albemarle County, Virginia",7125,491.66350281467913,112513,6.33,2022,55 to 59 years
51003,"Albemarle County, Virginia",7268,599.917494327345,112513,6.46,2022,60 to 64 years
51003,"Albemarle County, Virginia",12545,683.1032132847861,112513,11.15,2022,65 to 74 years
51003,"Albemarle County, Virginia",6802,477.51544477639675,112513,6.05,2022,75 to 84 years
51003,"Albemarle County, Virginia",2790,359.723504931218,112513,2.48,2022,85 years and over
51003,"Albemarle County, Virginia",5666,24.041630560342615,112513,5.04,2022,Under 5 years
