GEOID,county,tractnames,CHD,DEPRESSION,OBESITY,DIABETES,COPD,STROKE,CANCER,BPHIGH,CASTHMA,HIGHCHOL
51003010303,Albemarle,Hollymead,5.0,23.4,29.8,10.0,4.7,2.4,9.3,30.2,9.3,36.5
51003011302,Albemarle,"Oak Hill, Southwood",3.0,27.0,32.9,7.2,3.8,1.8,3.6,21.6,10.2,25.2
51003011000,Albemarle,Ivy,6.8,22.3,29.1,11.3,5.7,3.0,12.3,34.3,8.9,40.7
51003011301,Albemarle,"Monticello, Carters Mountain",6.1,24.5,31.9,11.0,6.0,2.9,10.1,32.7,9.6,38.1
51003010701,Albemarle,Hydraulic,4.7,23.2,32.6,10.3,4.7,2.7,6.9,30.9,9.9,32.5
51003011201,Albemarle,"Yancey Mills, Batesville",7.5,25.3,34.2,12.9,7.4,3.6,10.9,36.1,10.0,39.8
51003011303,Albemarle,Avon Street Ext.-Mill Creek,4.6,25.2,32.0,9.3,5.1,2.4,7.2,28.2,9.7,32.9
51003010302,Albemarle,Polo Grounds Road,5.1,22.4,28.4,9.9,4.6,2.4,9.4,29.8,8.8,36.9
51003010801,Albemarle,Barracks-Hessian Hills,6.9,23.3,30.5,11.1,6.5,3.6,9.7,31.1,9.7,34.4
51003010802,Albemarle,Albemarle High School,6.4,26.1,35.4,12.7,7.8,3.6,7.6,31.9,10.7,34.9
51003011101,Albemarle,Crozet-Beaver Creek,5.9,24.3,30.5,10.3,5.5,2.8,10.4,33.0,9.5,38.0
51003010401,Albemarle,Stony Point-Keswick,7.6,23.4,32.0,12.9,6.9,3.7,11.5,37.7,9.6,41.0
51003011102,Albemarle,Western Ridge-Westhall,5.3,24.6,31.3,10.0,5.1,2.5,8.8,30.3,9.4,36.4
51003011400,Albemarle,Southern Albemarle-Scottsville,7.3,25.2,34.6,13.4,8.0,3.8,10.0,37.9,10.5,39.8
51003010301,Albemarle,Berkmar Drive,6.1,24.4,33.3,11.6,6.3,3.3,8.3,31.0,9.8,34.9
51003010501,Albemarle,Darden-Key West,6.2,23.1,29.4,10.7,5.9,2.9,11.0,32.4,9.2,38.6
51003010702,Albemarle,Commonwealth-Townwood-Berkmar,5.5,23.9,33.7,11.5,5.7,3.0,7.9,32.5,10.0,35.0
51003010100,Albemarle,Free Union,7.6,24.7,32.1,12.5,7.4,3.5,11.9,37.1,9.8,41.4
51003010201,Albemarle,Charlottesville-Albemarle Airport,5.9,24.0,31.6,11.1,5.8,2.9,9.7,32.0,9.6,37.3
51003010502,Albemarle,Pantops,9.0,21.8,27.9,12.0,7.8,4.4,12.5,34.2,9.2,37.3
51003011103,Albemarle,Old Trail,6.6,23.0,29.8,10.8,5.5,3.0,11.8,33.1,9.1,38.7
51003010901,Albemarle,Old Ivy-Darden School (UVA),3.2,23.6,24.4,4.9,2.8,1.6,4.6,19.4,8.5,23.2
51003011202,Albemarle,North Garden,6.2,22.7,30.3,11.2,5.4,2.9,10.7,33.3,9.1,38.9
51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),1.2,26.5,21.6,3.2,2.2,0.8,1.1,11.2,9.8,15.9
51003010603,Albemarle,Branchland,8.7,22.1,29.2,12.5,8.1,4.5,11.8,34.9,9.5,37.1
51003010602,Albemarle,Dunlora-Stone Henge,6.3,24.6,31.6,11.1,6.3,3.2,10.0,31.5,9.9,36.6
51003010402,Albemarle,Village of Rivanna,8.0,22.4,30.1,12.9,7.1,3.6,13.1,37.1,9.2,42.2
51003010202,Albemarle,Earlysville,7.2,23.2,30.1,11.9,6.2,3.1,13.0,36.2,9.3,41.8
51003010604,Albemarle,Woodbrook-Carrsbrook,6.3,23.1,30.9,11.6,6.1,3.1,10.0,34.3,9.6,38.2
