GEOID.x,GEOID.y,county,tractnames,COLON_SCREEN,CERVICAL,DENTAL,MAMMOUSE,CHECKUP
51003010401,51003010401,Albemarle,Stony Point-Keswick,74.2,86.9,73.7,76.3,77.2
51003010201,51003010201,Albemarle,Charlottesville-Albemarle Airport,74.2,88.1,76.7,77.4,75.9
51003010402,51003010402,Albemarle,Village of Rivanna,76.7,88.3,78.0,76.9,78.4
51003010202,51003010202,Albemarle,Earlysville,77.3,88.6,79.7,78.4,78.5
51003011202,51003011202,Albemarle,North Garden,76.2,88.2,78.0,77.8,76.6
51003010300,51003010301,Albemarle,Berkmar Drive,72.4,86.8,74.5,76.4,75.1
51003010300,51003010302,Albemarle,Polo Grounds Road,72.4,86.8,74.5,76.4,75.1
51003010300,51003010303,Albemarle,Hollymead,72.4,86.8,74.5,76.4,75.1
51003011301,51003011301,Albemarle,"Monticello, Carters Mountain",71.3,85.6,70.2,75.6,74.3
51003010602,51003010602,Albemarle,Dunlora-Stone Henge,75.7,87.8,77.0,77.6,76.1
51003011100,51003011101,Albemarle,Crozet-Beaver Creek,74.9,88.7,77.0,77.4,75.4
51003011100,51003011102,Albemarle,Western Ridge-Westhall,74.9,88.7,77.0,77.4,75.4
51003011100,51003011103,Albemarle,Old Trail,74.9,88.7,77.0,77.4,75.4
51003010500,51003010501,Albemarle,Darden-Key West,76.9,87.1,77.6,77.0,77.3
51003010500,51003010502,Albemarle,Pantops,76.9,87.1,77.6,77.0,77.3
51003010902,51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),65.9,68.5,65.5,74.9,66.5
51003010100,51003010100,Albemarle,Free Union,73.7,86.4,74.1,76.1,76.4
51003011302,51003011302,Albemarle,"Oak Hill, Southwood",66.8,76.4,60.2,76.8,69.3
51003011303,51003011303,Albemarle,Avon Street Ext.-Mill Creek,72.3,86.7,73.1,78.4,71.9
51003010700,51003010701,Albemarle,Hydraulic,72.7,84.1,68.9,77.3,74.5
51003010700,51003010702,Albemarle,Commonwealth-Townwood-Berkmar,72.7,84.1,68.9,77.3,74.5
51003011400,51003011400,Albemarle,Southern Albemarle-Scottsville,70.9,84.5,64.9,76.7,76.3
51003010903,51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),48.8,46.8,42.2,74.8,66.8
51003011201,51003011201,Albemarle,"Yancey Mills, Batesville",73.4,86.6,73.3,76.9,75.9
51003010601,51003010603,Albemarle,Branchland,73.4,85.2,71.3,76.4,77.6
51003010601,51003010604,Albemarle,Woodbrook-Carrsbrook,73.4,85.2,71.3,76.4,77.6
51003010901,51003010901,Albemarle,Old Ivy-Darden School (UVA),74.5,75.7,68.4,76.2,70.8
51003010800,51003010801,Albemarle,Barracks-Hessian Hills,74.7,85.7,72.2,77.4,75.8
51003010800,51003010802,Albemarle,Albemarle High School,74.7,85.7,72.2,77.4,75.8
51003011000,51003011000,Albemarle,Ivy,77.0,89.1,81.0,78.4,78.5
