GEOID.x,GEOID.y,county,tractnames,MHLTH,PHLTH
51003010800,51003010801,Albemarle,Barracks-Hessian Hills,14.2,9.3
51003010800,51003010802,Albemarle,Albemarle High School,14.2,9.3
51003011302,51003011302,Albemarle,"Oak Hill, Southwood",20.8,9.4
51003010500,51003010501,Albemarle,Darden-Key West,11.9,8.4
51003010500,51003010502,Albemarle,Pantops,11.9,8.4
51003010100,51003010100,Albemarle,Free Union,13.5,10.4
51003010601,51003010603,Albemarle,Branchland,13.6,10.6
51003010601,51003010604,Albemarle,Woodbrook-Carrsbrook,13.6,10.6
51003011100,51003011101,Albemarle,Crozet-Beaver Creek,12.8,8.5
51003011100,51003011102,Albemarle,Western Ridge-Westhall,12.8,8.5
51003011100,51003011103,Albemarle,Old Trail,12.8,8.5
51003011202,51003011202,Albemarle,North Garden,11.7,8.3
51003010602,51003010602,Albemarle,Dunlora-Stone Henge,12.8,8.3
51003010202,51003010202,Albemarle,Earlysville,11.1,9.0
51003011000,51003011000,Albemarle,Ivy,10.6,8.2
51003010402,51003010402,Albemarle,Village of Rivanna,11.4,9.4
51003010901,51003010901,Albemarle,Old Ivy-Darden School (UVA),15.3,6.7
51003010300,51003010301,Albemarle,Berkmar Drive,13.5,9.1
51003010300,51003010302,Albemarle,Polo Grounds Road,13.5,9.1
51003010300,51003010303,Albemarle,Hollymead,13.5,9.1
51003011301,51003011301,Albemarle,"Monticello, Carters Mountain",15.4,10.8
51003011303,51003011303,Albemarle,Avon Street Ext.-Mill Creek,14.5,7.7
51003010902,51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),24.1,6.1
51003010903,51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),36.8,11.8
51003010700,51003010701,Albemarle,Hydraulic,15.4,9.5
51003010700,51003010702,Albemarle,Commonwealth-Townwood-Berkmar,15.4,9.5
51003010401,51003010401,Albemarle,Stony Point-Keswick,13.3,10.3
51003011201,51003011201,Albemarle,"Yancey Mills, Batesville",13.8,10.2
51003010201,51003010201,Albemarle,Charlottesville-Albemarle Airport,12.9,8.9
51003011400,51003011400,Albemarle,Southern Albemarle-Scottsville,16.3,12.9
