GEOID,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year
51003,"Albemarle County, Virginia",White,62928,356,less_than_hs,3068,4.88,2022
51003,"Albemarle County, Virginia",White,62928,356,hs_only,19822,31.5,2022
51003,"Albemarle County, Virginia",White,62928,356,bachelors_up,40038,63.63,2022
51003,"Albemarle County, Virginia",White_non_hisp,61269,145,less_than_hs,2705,4.41,2022
51003,"Albemarle County, Virginia",White_non_hisp,61269,145,hs_only,19213,31.36,2022
51003,"Albemarle County, Virginia",White_non_hisp,61269,145,bachelors_up,39351,64.23,2022
51003,"Albemarle County, Virginia",Black,6679,214,less_than_hs,1034,15.48,2022
51003,"Albemarle County, Virginia",Black,6679,214,hs_only,3910,58.54,2022
51003,"Albemarle County, Virginia",Black,6679,214,bachelors_up,1735,25.98,2022
51003,"Albemarle County, Virginia",Amer_Indian,52,38,less_than_hs,11,21.15,2022
51003,"Albemarle County, Virginia",Amer_Indian,52,38,hs_only,34,65.38,2022
51003,"Albemarle County, Virginia",Amer_Indian,52,38,bachelors_up,7,13.46,2022
51003,"Albemarle County, Virginia",Asian,3867,211,less_than_hs,249,6.44,2022
51003,"Albemarle County, Virginia",Asian,3867,211,hs_only,677,17.51,2022
51003,"Albemarle County, Virginia",Asian,3867,211,bachelors_up,2941,76.05,2022
51003,"Albemarle County, Virginia",NHPI,34,48,less_than_hs,0,0,2022
51003,"Albemarle County, Virginia",NHPI,34,48,hs_only,0,0,2022
51003,"Albemarle County, Virginia",NHPI,34,48,bachelors_up,34,100,2022
51003,"Albemarle County, Virginia",Other,1043,292,less_than_hs,230,22.05,2022
51003,"Albemarle County, Virginia",Other,1043,292,hs_only,574,55.03,2022
51003,"Albemarle County, Virginia",Other,1043,292,bachelors_up,239,22.91,2022
51003,"Albemarle County, Virginia",Multi,2333,381,less_than_hs,158,6.77,2022
51003,"Albemarle County, Virginia",Multi,2333,381,hs_only,907,38.88,2022
51003,"Albemarle County, Virginia",Multi,2333,381,bachelors_up,1268,54.35,2022
51003,"Albemarle County, Virginia",Hispanic,3532,NA,less_than_hs,684,19.37,2022
51003,"Albemarle County, Virginia",Hispanic,3532,NA,hs_only,1565,44.31,2022
51003,"Albemarle County, Virginia",Hispanic,3532,NA,bachelors_up,1283,36.33,2022
