GEOID.x,state,locality_num.x,tract_num.x,lifeexpE,lifeexpM,year,county,GEOID.y,locality_num.y,tract_num.y,tractnames,GEOID_TRACT_10
51003010100,51,003,010100,84.3,2.842612,2015,Albemarle,51003010100,003,010100,Free Union,51003010100
51003010201,51,003,010201,77.3,5.404456,2015,Albemarle,51003010201,003,010201,Charlottesville-Albemarle Airport,51003010201
51003010202,51,003,010202,80.9,2.8312959999999996,2015,Albemarle,51003010202,003,010202,Earlysville,51003010202
51003010300,51,003,010300,81.9,2.5008359999999996,2015,Albemarle,51003010301,003,010301,Berkmar Drive,51003010300
51003010300,51,003,010300,81.9,2.5008359999999996,2015,Albemarle,51003010302,003,010302,Polo Grounds Road,51003010300
51003010300,51,003,010300,81.9,2.5008359999999996,2015,Albemarle,51003010303,003,010303,Hollymead,51003010300
51003010401,51,003,010401,80.6,2.10904,2015,Albemarle,51003010401,003,010401,Stony Point-Keswick,51003010401
51003010402,51,003,010402,83.7,3.885816,2015,Albemarle,51003010402,003,010402,Village of Rivanna,51003010402
51003010500,51,003,010500,82.8,2.9739759999999995,2015,Albemarle,51003010501,003,010501,Darden-Key West,51003010500
51003010500,51,003,010500,82.8,2.9739759999999995,2015,Albemarle,51003010502,003,010502,Pantops,51003010500
51003010601,51,003,010601,79.7,1.5058479999999999,2015,Albemarle,51003010603,003,010603,Branchland,51003010601
51003010601,51,003,010601,79.7,1.5058479999999999,2015,Albemarle,51003010604,003,010604,Woodbrook-Carrsbrook,51003010601
51003010602,51,003,010602,80.2,1.5737439999999998,2015,Albemarle,51003010602,003,010602,Dunlora-Stone Henge,51003010602
51003010700,51,003,010700,76.7,2.3112519999999996,2015,Albemarle,51003010701,003,010701,Hydraulic,51003010700
51003010700,51,003,010700,76.7,2.3112519999999996,2015,Albemarle,51003010702,003,010702,Commonwealth-Townwood-Berkmar,51003010700
51003010800,51,003,010800,82.6,2.4542599999999997,2015,Albemarle,51003010801,003,010801,Barracks-Hessian Hills,51003010800
51003010800,51,003,010800,82.6,2.4542599999999997,2015,Albemarle,51003010802,003,010802,Albemarle High School,51003010800
51003010901,51,003,010901,78.6,2.06722,2015,Albemarle,51003010901,003,010901,Old Ivy-Darden School (UVA),51003010901
51003011000,51,003,011000,86.3,3.7306719999999998,2015,Albemarle,51003011000,003,011000,Ivy,51003011000
51003011100,51,003,011100,80.7,2.811124,2015,Albemarle,51003011101,003,011101,Crozet-Beaver Creek,51003011100
51003011100,51,003,011100,80.7,2.811124,2015,Albemarle,51003011102,003,011102,Western Ridge-Westhall,51003011100
51003011100,51,003,011100,80.7,2.811124,2015,Albemarle,51003011103,003,011103,Old Trail,51003011100
51003011201,51,003,011201,78.5,1.7733319999999997,2015,Albemarle,51003011201,003,011201,"Yancey Mills, Batesville",51003011201
51003011202,51,003,011202,87.1,4.477692,2015,Albemarle,51003011202,003,011202,North Garden,51003011202
51003011301,51,003,011301,84.1,5.153536,2015,Albemarle,51003011301,003,011301,"Monticello, Carters Mountain",51003011301
51003011302,51,003,011302,75.5,3.1323999999999996,2015,Albemarle,51003011302,003,011302,"Oak Hill, Southwood",51003011302
51003011303,51,003,011303,80,2.930024,2015,Albemarle,51003011303,003,011303,Avon Street Ext.-Mill Creek,51003011303
51003011400,51,003,011400,79,2.181692,2015,Albemarle,51003011400,003,011400,Southern Albemarle-Scottsville,51003011400
NA,NA,NA,NA,NA,NA,NA,Albemarle,51003010904,003,010904,Carr's Hill-McCormick Road (UVA),51003010902
NA,NA,NA,NA,NA,NA,NA,Albemarle,51003010904,003,010904,Carr's Hill-McCormick Road (UVA),51003010903
