GEOID,locality,tract,estimate,moe,total_units,percent,level,rent_burden,year,county,locality_num,tract_num,tractnames
51003010100,Albemarle County,Census Tract 101,43,69.476614770727,243,17.7,Burdened,30% to 49% household income,2022,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,139,78.09609465267773,243,57.2,Not burdened,Less than 30% household income,2022,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,44,48,243,18.11,Severely Burdened,Over 50% household income,2022,Albemarle,003,010100,Free Union
51003010201,Albemarle County,Census Tract 102.01,5,28.6705423736629,260,1.92,Burdened,30% to 49% household income,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,172,99.81983770774224,260,66.15,Not burdened,Less than 30% household income,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,56,52,260,21.54,Severely Burdened,Over 50% household income,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Albemarle County,Census Tract 102.02,0,13,95,0,Burdened,30% to 49% household income,2022,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,34,38.3275357934736,95,35.79,Not burdened,Less than 30% household income,2022,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,12,19,95,12.63,Severely Burdened,Over 50% household income,2022,Albemarle,003,010202,Earlysville
51003010301,Albemarle County,Census Tract 103.01,11,25.729360660537214,105,10.48,Burdened,30% to 49% household income,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,34,44.40720662234904,105,32.38,Not burdened,Less than 30% household income,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,9,13,105,8.57,Severely Burdened,Over 50% household income,2022,Albemarle,003,010301,Berkmar Drive
51003010302,Albemarle County,Census Tract 103.02,15,31.843366656181317,154,9.74,Burdened,30% to 49% household income,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,89,58.915193286621744,154,57.79,Not burdened,Less than 30% household income,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,0,13,154,0,Severely Burdened,Over 50% household income,2022,Albemarle,003,010302,Polo Grounds Road
51003010303,Albemarle County,Census Tract 103.03,162,102.20078277586722,331,48.94,Burdened,30% to 49% household income,2022,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,131,85.0235261559999,331,39.58,Not burdened,Less than 30% household income,2022,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,38,37,331,11.48,Severely Burdened,Over 50% household income,2022,Albemarle,003,010303,Hollymead
51003010401,Albemarle County,Census Tract 104.01,44,40.422765862815474,501,8.78,Burdened,30% to 49% household income,2022,Albemarle,003,010401,Stony Point-Keswick
