GEOID,locality,estimate,moe,total_pop,percent,sex,label,year
51003,"Albemarle County, Virginia",3126,312,113683,2.75,Female,10 to 14 years,2023
51003,"Albemarle County, Virginia",5224,261.0785322465254,113683,4.6,Female,15 to 19 years,2023
51003,"Albemarle County, Virginia",3644,413.36787490079587,113683,3.21,Female,20 to 24 years,2023
51003,"Albemarle County, Virginia",7318,17.88854381999832,113683,6.44,Female,25 to 34 years,2023
51003,"Albemarle County, Virginia",7084,464.5696933722647,113683,6.23,Female,35 to 44 years,2023
51003,"Albemarle County, Virginia",6443,36.22154055254967,113683,5.67,Female,45 to 54 years,2023
51003,"Albemarle County, Virginia",3068,311,113683,2.7,Female,5 to 9 years,2023
51003,"Albemarle County, Virginia",3912,357,113683,3.44,Female,55 to 59 years,2023
51003,"Albemarle County, Virginia",3700,424.60334431089916,113683,3.25,Female,60 to 64 years,2023
51003,"Albemarle County, Virginia",7048,420.8051805764753,113683,6.2,Female,65 to 74 years,2023
51003,"Albemarle County, Virginia",3739,391.8009698813927,113683,3.29,Female,75 to 84 years,2023
51003,"Albemarle County, Virginia",1912,244,113683,1.68,Female,85 years and over,2023
51003,"Albemarle County, Virginia",2806,139,113683,2.47,Female,Under 5 years,2023
51003,"Albemarle County, Virginia",3448,355,113683,3.03,Male,10 to 14 years,2023
51003,"Albemarle County, Virginia",4997,243.81345327934633,113683,4.4,Male,15 to 19 years,2023
51003,"Albemarle County, Virginia",3391,351.84797853618545,113683,2.98,Male,20 to 24 years,2023
51003,"Albemarle County, Virginia",6869,137.3644786689776,113683,6.04,Male,25 to 34 years,2023
51003,"Albemarle County, Virginia",6888,547.3463254649655,113683,6.06,Male,35 to 44 years,2023
51003,"Albemarle County, Virginia",6458,187.39530410338463,113683,5.68,Male,45 to 54 years,2023
51003,"Albemarle County, Virginia",3113,355,113683,2.74,Male,5 to 9 years,2023
51003,"Albemarle County, Virginia",3293,353,113683,2.9,Male,55 to 59 years,2023
51003,"Albemarle County, Virginia",3369,412.1710809845834,113683,2.96,Male,60 to 64 years,2023
51003,"Albemarle County, Virginia",5921,486.80488904693635,113683,5.21,Male,65 to 74 years,2023
51003,"Albemarle County, Virginia",2913,291.0755915565577,113683,2.56,Male,75 to 84 years,2023
51003,"Albemarle County, Virginia",1083,229,113683,0.95,Male,85 years and over,2023
51003,"Albemarle County, Virginia",2916,137,113683,2.57,Male,Under 5 years,2023
