GEOID,locality,tract,label,estimate,moe,total_households,percent,year,county,locality_num,tract_num,tractnames
51003010100,Albemarle County,Census Tract 101,Owner occupied,1581,199,1824,86.68,2022,Albemarle,003,010100,Free Union
51003010100,Albemarle County,Census Tract 101,Renter occupied,243,117,1824,13.32,2022,Albemarle,003,010100,Free Union
51003010201,Albemarle County,Census Tract 102.01,Owner occupied,1722,173,1982,86.88,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Albemarle County,Census Tract 102.01,Renter occupied,260,113,1982,13.12,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Albemarle County,Census Tract 102.02,Owner occupied,1106,128,1201,92.09,2022,Albemarle,003,010202,Earlysville
51003010202,Albemarle County,Census Tract 102.02,Renter occupied,95,64,1201,7.91,2022,Albemarle,003,010202,Earlysville
51003010301,Albemarle County,Census Tract 103.01,Owner occupied,571,147,676,84.47,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Albemarle County,Census Tract 103.01,Renter occupied,105,57,676,15.53,2022,Albemarle,003,010301,Berkmar Drive
51003010302,Albemarle County,Census Tract 103.02,Owner occupied,296,92,450,65.78,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Albemarle County,Census Tract 103.02,Renter occupied,154,77,450,34.22,2022,Albemarle,003,010302,Polo Grounds Road
51003010303,Albemarle County,Census Tract 103.03,Owner occupied,1843,195,2174,84.77,2022,Albemarle,003,010303,Hollymead
51003010303,Albemarle County,Census Tract 103.03,Renter occupied,331,104,2174,15.23,2022,Albemarle,003,010303,Hollymead
51003010401,Albemarle County,Census Tract 104.01,Owner occupied,1369,292,1870,73.21,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Albemarle County,Census Tract 104.01,Renter occupied,501,139,1870,26.79,2022,Albemarle,003,010401,Stony Point-Keswick
51003010402,Albemarle County,Census Tract 104.02,Owner occupied,1216,140,1419,85.69,2022,Albemarle,003,010402,Village of Rivanna
