year,level,division,subgroup,count_below_10,count_above_10,percent_below_10,percent_above_10
2023 - 2024,DIV,Charlottesville City Public Schools,All Students,3106,1097,73.9,26.1
2023 - 2024,DIV,Charlottesville City Public Schools,Asian,200,62,76.3,23.7
2023 - 2024,DIV,Charlottesville City Public Schools,Black,663,389,63,37
2023 - 2024,DIV,Charlottesville City Public Schools,Economically Disadvantaged,1840,880,67.6,32.4
2023 - 2024,DIV,Charlottesville City Public Schools,Female,1528,539,73.9,26.1
2023 - 2024,DIV,Charlottesville City Public Schools,Hispanic,392,185,67.9,32.1
2023 - 2024,DIV,Charlottesville City Public Schools,Male,1578,558,73.9,26.1
2023 - 2024,DIV,Charlottesville City Public Schools,Multiple Races,370,197,65.3,34.7
2023 - 2024,DIV,Charlottesville City Public Schools,Native Hawaiian,NA,NA,NA,NA
2023 - 2024,DIV,Charlottesville City Public Schools,Students with Disabilities,333,165,66.9,33.1
2023 - 2024,DIV,Charlottesville City Public Schools,White,1480,264,84.9,15.1
