"","GEOID","locality","estimate","moe","total_foreign_born","percent","year","label"
"1","51540","Charlottesville city, Virginia",257,85,4621,5.56,2022,"Northern Europe"
"2","51540","Charlottesville city, Virginia",167,90,4621,3.61,2022,"Western Europe"
"3","51540","Charlottesville city, Virginia",41,56,4621,0.89,2022,"Southern Europe"
"4","51540","Charlottesville city, Virginia",230,103,4621,4.98,2022,"Eastern Europe"
"5","51540","Charlottesville city, Virginia",921,207,4621,19.93,2022,"Eastern Asia"
"6","51540","Charlottesville city, Virginia",667,165,4621,14.43,2022,"South Central Asia"
"7","51540","Charlottesville city, Virginia",324,220,4621,7.01,2022,"South Eastern Asia"
"8","51540","Charlottesville city, Virginia",583,313,4621,12.62,2022,"Western Asia"
"9","51540","Charlottesville city, Virginia",122,86,4621,2.64,2022,"Eastern Africa"
"10","51540","Charlottesville city, Virginia",19,31,4621,0.41,2022,"Middle Africa"
"11","51540","Charlottesville city, Virginia",28,27,4621,0.61,2022,"Northern Africa"
"12","51540","Charlottesville city, Virginia",4,7,4621,0.09,2022,"Southern Africa"
"13","51540","Charlottesville city, Virginia",100,124,4621,2.16,2022,"Western Africa"
"14","51540","Charlottesville city, Virginia",12,19,4621,0.26,2022,"Oceania"
"15","51540","Charlottesville city, Virginia",62,64,4621,1.34,2022,"Latin America, Caribbean"
"16","51540","Charlottesville city, Virginia",587,216,4621,12.7,2022,"Latin America, Central America"
"17","51540","Charlottesville city, Virginia",244,124,4621,5.28,2022,"Latin America, South America"
"18","51540","Charlottesville city, Virginia",213,102,4621,4.61,2022,"Northern America"
