GEOID,locality,estimate,moe,total_foreign_born,percent,year,label
51540,"Charlottesville city, Virginia",272,123,4721,5.76,2023,Northern Europe
51540,"Charlottesville city, Virginia",200,93,4721,4.24,2023,Western Europe
51540,"Charlottesville city, Virginia",66,70,4721,1.4,2023,Southern Europe
51540,"Charlottesville city, Virginia",272,118,4721,5.76,2023,Eastern Europe
51540,"Charlottesville city, Virginia",870,194,4721,18.43,2023,Eastern Asia
51540,"Charlottesville city, Virginia",832,233,4721,17.62,2023,South Central Asia
51540,"Charlottesville city, Virginia",203,162,4721,4.3,2023,South Eastern Asia
51540,"Charlottesville city, Virginia",461,242,4721,9.76,2023,Western Asia
51540,"Charlottesville city, Virginia",176,120,4721,3.73,2023,Eastern Africa
51540,"Charlottesville city, Virginia",19,32,4721,0.4,2023,Middle Africa
51540,"Charlottesville city, Virginia",23,29,4721,0.49,2023,Northern Africa
51540,"Charlottesville city, Virginia",11,18,4721,0.23,2023,Southern Africa
51540,"Charlottesville city, Virginia",168,136,4721,3.56,2023,Western Africa
51540,"Charlottesville city, Virginia",0,28,4721,0,2023,Oceania
51540,"Charlottesville city, Virginia",69,72,4721,1.46,2023,"Latin America, Caribbean"
51540,"Charlottesville city, Virginia",625,262,4721,13.24,2023,"Latin America, Central America"
51540,"Charlottesville city, Virginia",232,131,4721,4.91,2023,"Latin America, South America"
51540,"Charlottesville city, Virginia",222,100,4721,4.7,2023,Northern America
