GEOID,county,tractnames,CHD,DEPRESSION,OBESITY,DIABETES,COPD,STROKE,CANCER,BPHIGH,CASTHMA,HIGHCHOL
51540000201,Charlottesville,Rose Hill-Harris-Venable,3.9,26.0,30.7,8.5,4.5,2.4,4.8,25.3,10.6,27.8
51540000401,Charlottesville,Ridge St.,5.5,23.7,36.6,12.6,6.7,3.5,6.0,34.6,10.8,33.2
51540000202,Charlottesville,10th & Page-Venable,3.0,31.4,30.5,6.7,4.7,2.2,2.4,20.4,12.1,21.5
51540000800,Charlottesville,Greenbrier-Meadows,7.0,21.1,30.5,12.1,6.1,3.5,10.3,37.1,9.3,38.7
51540000502,Charlottesville,Fry's Springs,4.1,23.6,29.5,8.1,4.1,2.1,6.4,25.1,9.4,29.4
51540000600,Charlottesville,JPA-Fontaine,2.3,28.7,27.3,5.0,4.3,1.5,1.8,17.2,11.0,19.5
51540001000,Charlottesville,Downtown Area,5.5,22.8,28.7,9.4,4.5,2.6,9.4,28.6,9.2,34.0
51540000302,Charlottesville,Woolen Mills,5.0,23.8,31.8,9.6,5.4,2.6,7.9,28.3,9.7,33.3
51540000700,Charlottesville,Barracks-Rugby,4.4,27.2,28.7,7.7,5.0,2.2,6.0,23.2,10.5,28.2
51540000900,Charlottesville,Locust Grove,5.9,23.6,30.4,10.4,6.0,3.0,8.9,30.7,9.8,35.0
51540000501,Charlottesville,Fifeville-Cherry Avenue,4.7,24.8,37.5,11.9,6.2,3.3,4.8,31.1,11.2,30.0
51540000402,Charlottesville,Belmont,5.0,25.5,34.0,10.2,6.3,2.8,6.5,29.3,10.5,32.4
