GEOID,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year
51540,"Charlottesville city, Virginia",White,21273,243,less_than_hs,1068,5.02,2022
51540,"Charlottesville city, Virginia",White,21273,243,hs_only,5489,25.8,2022
51540,"Charlottesville city, Virginia",White,21273,243,bachelors_up,14716,69.18,2022
51540,"Charlottesville city, Virginia",White_non_hisp,20486,163,less_than_hs,894,4.36,2022
51540,"Charlottesville city, Virginia",White_non_hisp,20486,163,hs_only,5206,25.41,2022
51540,"Charlottesville city, Virginia",White_non_hisp,20486,163,bachelors_up,14386,70.22,2022
51540,"Charlottesville city, Virginia",Black,5093,259,less_than_hs,950,18.65,2022
51540,"Charlottesville city, Virginia",Black,5093,259,hs_only,3285,64.5,2022
51540,"Charlottesville city, Virginia",Black,5093,259,bachelors_up,858,16.85,2022
51540,"Charlottesville city, Virginia",Amer_Indian,53,41,less_than_hs,16,30.19,2022
51540,"Charlottesville city, Virginia",Amer_Indian,53,41,hs_only,16,30.19,2022
51540,"Charlottesville city, Virginia",Amer_Indian,53,41,bachelors_up,21,39.62,2022
51540,"Charlottesville city, Virginia",Asian,1284,125,less_than_hs,289,22.51,2022
51540,"Charlottesville city, Virginia",Asian,1284,125,hs_only,190,14.8,2022
51540,"Charlottesville city, Virginia",Asian,1284,125,bachelors_up,805,62.69,2022
51540,"Charlottesville city, Virginia",NHPI,0,28,less_than_hs,0,NA,2022
51540,"Charlottesville city, Virginia",NHPI,0,28,hs_only,0,NA,2022
51540,"Charlottesville city, Virginia",NHPI,0,28,bachelors_up,0,NA,2022
51540,"Charlottesville city, Virginia",Other,323,185,less_than_hs,0,0,2022
51540,"Charlottesville city, Virginia",Other,323,185,hs_only,87,26.93,2022
51540,"Charlottesville city, Virginia",Other,323,185,bachelors_up,236,73.07,2022
51540,"Charlottesville city, Virginia",Multi,1390,322,less_than_hs,36,2.59,2022
51540,"Charlottesville city, Virginia",Multi,1390,322,hs_only,651,46.83,2022
51540,"Charlottesville city, Virginia",Multi,1390,322,bachelors_up,703,50.58,2022
51540,"Charlottesville city, Virginia",Hispanic,1286,72,less_than_hs,174,13.53,2022
51540,"Charlottesville city, Virginia",Hispanic,1286,72,hs_only,494,38.41,2022
51540,"Charlottesville city, Virginia",Hispanic,1286,72,bachelors_up,618,48.06,2022
