GEOID.x,state,locality_num.x,tract_num.x,lifeexpE,lifeexpM,year,county,GEOID.y,locality_num.y,tract_num.y,tractnames,GEOID_TRACT_10
51540000201,51,540,000201,78.7,5.3628,2015,Charlottesville,51540000201,540,000201,Rose Hill-Harris-Venable,51540000201
51540000302,51,540,000302,80.4,3.5407599999999997,2015,Charlottesville,51540000302,540,000302,Woolen Mills,51540000302
51540000401,51,540,000401,73.7,2.249916,2015,Charlottesville,51540000401,540,000401,Ridge St.,51540000401
51540000402,51,540,000402,76.3,2.480336,2015,Charlottesville,51540000402,540,000402,Belmont,51540000402
51540000501,51,540,000501,76.4,2.4831239999999997,2015,Charlottesville,51540000501,540,000501,Fifeville-Cherry Avenue,51540000501
51540000502,51,540,000502,79.8,2.5953,2015,Charlottesville,51540000502,540,000502,Fry's Springs,51540000502
51540000700,51,540,000700,82.6,4.307624,2015,Charlottesville,51540000700,540,000700,Barracks-Rugby,51540000700
51540000800,51,540,000800,79.4,2.165784,2015,Charlottesville,51540000800,540,000800,Greenbrier-Meadows,51540000800
51540000900,51,540,000900,81.3,4.038664,2015,Charlottesville,51540000900,540,000900,Locust Grove,51540000900
51540001000,51,540,001000,82.5,3.901232,2015,Charlottesville,51540001000,540,001000,Downtown Area,51540001000
NA,NA,NA,NA,NA,NA,NA,Charlottesville,51540000202,540,000202,10th & Page-Venable,51540000202
NA,NA,NA,NA,NA,NA,NA,Charlottesville,51540000600,540,000600,JPA-Fontaine,51540000600
