GEOID,locality,tract,label,group,estimate,moe,year,county,locality_num,tract_num,tractnames
51540000201,Charlottesville city,Census Tract 2.01,Median Earnings,All,34093,6305,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Charlottesville city,Census Tract 2.01,Median Earnings,Male,34890,8831,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Charlottesville city,Census Tract 2.01,Median Earnings,Female,33125,10540,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000202,Charlottesville city,Census Tract 2.02,Median Earnings,All,8508,2300,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Charlottesville city,Census Tract 2.02,Median Earnings,Male,NA,NA,2022,Charlottesville,540,000202,10th & Page-Venable
51540000202,Charlottesville city,Census Tract 2.02,Median Earnings,Female,8076,2038,2022,Charlottesville,540,000202,10th & Page-Venable
51540000302,Charlottesville city,Census Tract 3.02,Median Earnings,All,42542,7179,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Charlottesville city,Census Tract 3.02,Median Earnings,Male,42500,19300,2022,Charlottesville,540,000302,Woolen Mills
51540000302,Charlottesville city,Census Tract 3.02,Median Earnings,Female,45078,13682,2022,Charlottesville,540,000302,Woolen Mills
51540000401,Charlottesville city,Census Tract 4.01,Median Earnings,All,40645,9598,2022,Charlottesville,540,000401,Ridge St.
51540000401,Charlottesville city,Census Tract 4.01,Median Earnings,Male,42473,16976,2022,Charlottesville,540,000401,Ridge St.
51540000401,Charlottesville city,Census Tract 4.01,Median Earnings,Female,36910,11331,2022,Charlottesville,540,000401,Ridge St.
51540000402,Charlottesville city,Census Tract 4.02,Median Earnings,All,44435,11900,2022,Charlottesville,540,000402,Belmont
51540000402,Charlottesville city,Census Tract 4.02,Median Earnings,Male,52615,15183,2022,Charlottesville,540,000402,Belmont
51540000402,Charlottesville city,Census Tract 4.02,Median Earnings,Female,40313,8591,2022,Charlottesville,540,000402,Belmont
51540000501,Charlottesville city,Census Tract 5.01,Median Earnings,All,40080,4484,2022,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000501,Charlottesville city,Census Tract 5.01,Median Earnings,Male,37153,7639,2022,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000501,Charlottesville city,Census Tract 5.01,Median Earnings,Female,42034,10551,2022,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000502,Charlottesville city,Census Tract 5.02,Median Earnings,All,57905,11713,2022,Charlottesville,540,000502,Fry's Springs
51540000502,Charlottesville city,Census Tract 5.02,Median Earnings,Male,65174,9602,2022,Charlottesville,540,000502,Fry's Springs
51540000502,Charlottesville city,Census Tract 5.02,Median Earnings,Female,49043,3817,2022,Charlottesville,540,000502,Fry's Springs
51540000600,Charlottesville city,Census Tract 6,Median Earnings,All,10197,2796,2022,Charlottesville,540,000600,JPA-Fontaine
51540000600,Charlottesville city,Census Tract 6,Median Earnings,Male,10699,2545,2022,Charlottesville,540,000600,JPA-Fontaine
51540000600,Charlottesville city,Census Tract 6,Median Earnings,Female,8971,4700,2022,Charlottesville,540,000600,JPA-Fontaine
51540000700,Charlottesville city,Census Tract 7,Median Earnings,All,22008,4089,2022,Charlottesville,540,000700,Barracks-Rugby
51540000700,Charlottesville city,Census Tract 7,Median Earnings,Male,34476,9677,2022,Charlottesville,540,000700,Barracks-Rugby
51540000700,Charlottesville city,Census Tract 7,Median Earnings,Female,17697,8037,2022,Charlottesville,540,000700,Barracks-Rugby
51540000800,Charlottesville city,Census Tract 8,Median Earnings,All,55757,16893,2022,Charlottesville,540,000800,Greenbrier-Meadows
51540000800,Charlottesville city,Census Tract 8,Median Earnings,Male,53929,30492,2022,Charlottesville,540,000800,Greenbrier-Meadows
51540000800,Charlottesville city,Census Tract 8,Median Earnings,Female,56458,15420,2022,Charlottesville,540,000800,Greenbrier-Meadows
51540000900,Charlottesville city,Census Tract 9,Median Earnings,All,57978,12242,2022,Charlottesville,540,000900,Locust Grove
51540000900,Charlottesville city,Census Tract 9,Median Earnings,Male,54023,15929,2022,Charlottesville,540,000900,Locust Grove
51540000900,Charlottesville city,Census Tract 9,Median Earnings,Female,59659,14597,2022,Charlottesville,540,000900,Locust Grove
51540001000,Charlottesville city,Census Tract 10,Median Earnings,All,52396,6238,2022,Charlottesville,540,001000,Downtown Area
51540001000,Charlottesville city,Census Tract 10,Median Earnings,Male,55394,10923,2022,Charlottesville,540,001000,Downtown Area
51540001000,Charlottesville city,Census Tract 10,Median Earnings,Female,51458,5212,2022,Charlottesville,540,001000,Downtown Area
