GEOID,locality,label,group,estimate,moe,year
51540,"Charlottesville city, Virginia",Median Household Income,All Households,67177,5125,2022
51540,"Charlottesville city, Virginia",Median Household Income,White,81106,6180,2022
51540,"Charlottesville city, Virginia",Median Household Income,Black,38162,5039,2022
51540,"Charlottesville city, Virginia",Median Household Income,American Indian and Alaska Native,28750,1365,2022
51540,"Charlottesville city, Virginia",Median Household Income,Asian,37667,20097,2022
51540,"Charlottesville city, Virginia",Median Household Income,NHPI,NA,NA,2022
51540,"Charlottesville city, Virginia",Median Household Income,Other,NA,NA,2022
51540,"Charlottesville city, Virginia",Median Household Income,Multiracial,81290,43175,2022
51540,"Charlottesville city, Virginia",Median Household Income,"White, Not Hispanic or Latino",83684,6220,2022
51540,"Charlottesville city, Virginia",Median Household Income,Hispanic or Latino,56525,8687,2022
