GEOID,locality,estimate,moe,total_pop,percent,sex,label,year
51540,"Charlottesville city, Virginia",1056,184,45863,2.3,Female,10 to 14 years,2023
51540,"Charlottesville city, Virginia",1448,213.03755537463343,45863,3.16,Female,15 to 19 years,2023
51540,"Charlottesville city, Virginia",3799,397.3977856002723,45863,8.28,Female,20 to 24 years,2023
51540,"Charlottesville city, Virginia",4102,117.61802582937702,45863,8.94,Female,25 to 34 years,2023
51540,"Charlottesville city, Virginia",3193,347.75278575447817,45863,6.96,Female,35 to 44 years,2023
51540,"Charlottesville city, Virginia",2278,190.07893097342483,45863,4.97,Female,45 to 54 years,2023
51540,"Charlottesville city, Virginia",936,175,45863,2.04,Female,5 to 9 years,2023
51540,"Charlottesville city, Virginia",1333,179,45863,2.91,Female,55 to 59 years,2023
51540,"Charlottesville city, Virginia",1034,224.89997776789573,45863,2.25,Female,60 to 64 years,2023
51540,"Charlottesville city, Virginia",2053,298.2750408599419,45863,4.48,Female,65 to 74 years,2023
51540,"Charlottesville city, Virginia",962,206.52602741543257,45863,2.1,Female,75 to 84 years,2023
51540,"Charlottesville city, Virginia",366,137,45863,0.8,Female,85 years and over,2023
51540,"Charlottesville city, Virginia",1123,148,45863,2.45,Female,Under 5 years,2023
51540,"Charlottesville city, Virginia",927,184,45863,2.02,Male,10 to 14 years,2023
51540,"Charlottesville city, Virginia",1403,227.14973035423134,45863,3.06,Male,15 to 19 years,2023
51540,"Charlottesville city, Virginia",3681,443.5155014201871,45863,8.03,Male,20 to 24 years,2023
51540,"Charlottesville city, Virginia",3742,179.17589123540031,45863,8.16,Male,25 to 34 years,2023
51540,"Charlottesville city, Virginia",2941,401.0149623143755,45863,6.41,Male,35 to 44 years,2023
51540,"Charlottesville city, Virginia",2183,201.40506448448608,45863,4.76,Male,45 to 54 years,2023
51540,"Charlottesville city, Virginia",1071,128,45863,2.34,Male,5 to 9 years,2023
51540,"Charlottesville city, Virginia",955,170,45863,2.08,Male,55 to 59 years,2023
51540,"Charlottesville city, Virginia",1295,234.07904647789388,45863,2.82,Male,60 to 64 years,2023
51540,"Charlottesville city, Virginia",1820,286.4698937061275,45863,3.97,Male,65 to 74 years,2023
51540,"Charlottesville city, Virginia",596,152.85614151874958,45863,1.3,Male,75 to 84 years,2023
51540,"Charlottesville city, Virginia",205,77,45863,0.45,Male,85 years and over,2023
51540,"Charlottesville city, Virginia",1361,202,45863,2.97,Male,Under 5 years,2023
