st,locality_num,tract,life_exp,le_low,le_hi,tract_num,GEOID,county,tractnames,GEOID_TRACT_10
51,540,2.01,77,74.5,79.5,000201,51540000201,Charlottesville,Rose Hill-Harris-Venable,51540000201
51,540,2.02,77,74.5,79.5,000202,51540000202,Charlottesville,10th & Page-Venable,51540000202
51,540,3.02,81.8,78.8,84.9,000302,51540000302,Charlottesville,Woolen Mills,51540000302
51,540,4.01,73.6,71.4,75.9,000401,51540000401,Charlottesville,Ridge St.,51540000401
51,540,4.02,75.6,73.3,77.9,000402,51540000402,Charlottesville,Belmont,51540000402
51,540,5.01,75.6,72.8,78.3,000501,51540000501,Charlottesville,Fifeville-Cherry Avenue,51540000501
51,540,5.02,81.7,79.3,84,000502,51540000502,Charlottesville,Fry's Springs,51540000502
51,540,6,82.7,79.6,85.9,000600,51540000600,Charlottesville,JPA-Fontaine,51540000600
51,540,7,82.7,79.6,85.9,000700,51540000700,Charlottesville,Barracks-Rugby,51540000700
51,540,8,79.8,77.5,82,000800,51540000800,Charlottesville,Greenbrier-Meadows,51540000800
51,540,9,84.1,80.8,87.4,000900,51540000900,Charlottesville,Locust Grove,51540000900
51,540,10,81.9,78.8,85,001000,51540001000,Charlottesville,Downtown Area,51540001000
