geoid,statefp,countyfp,tractce,name,fullname,keypoints,description,,,,,,,,,,,,,,,,,,
51003010100,51,3,10100,101,Census Tract 101,Free Union,Free Union and the northwest corner of the county,,,,,,,,,,,,,,,,,,
51003010201,51,3,10201,102.01,Census Tract 102.01,Charlottesville-Albemarle Airport,"Charlottesville-Albemarle Airport, Chris Greene Lake, US Army National Ground Intelligence Center and points north",,,,,,,,,,,,,,,,,,
51003010202,51,3,10202,102.02,Census Tract 102.02,Earlysville,Earlysville and the Sourth Fork Rivanna Resevoir,,,,,,,,,,,,,,,,,,
51003010300,51,3,10300,103,Census Tract 103,Hollymead,Hollymead and the Places 29 North neighborhod,,,,,,,,,,,,,,,,,,
51003010401,51,3,10401,104.01,Census Tract 104.01,Stony Point and Keswick,"Stony Point, Keswick, Cismont and the northeast corner of the county",,,,,,,,,,,,,,,,,,
51003010402,51,3,10402,104.02,Census Tract 104.02,Village of Rivanna,"Shadwell, the Village of Rivanna, and East Rivanna River",,,,,,,,,,,,,,,,,,
51003010500,51,3,10500,105,Census Tract 105,Pantops,the Pantops Neighborhood and north to Key West and Wolf Trap Rd,,,,,,,,,,,,,,,,,,
51003010601,51,3,10601,106.01,Census Tract 106.01,Branchland to Carrsbrook,"situated within the Places 29 South Neighborhood, from Branchland and the Fashion Square Mall to Carrsboork",,,,,,,,,,,,,,,,,,
51003010602,51,3,10602,106.02,Census Tract 106.02,Pen Park-Dunlora,"the eastern portion of the Places 29 South neighborhood, containing Pen Park up to Dunlora",,,,,,,,,,,,,,,,,,
51003010700,51,3,10700,107,Census Tract 107,Commonwealth-Hydraulic,"the western piece of the Places 29 South neighbhorhood, bound by 29 on the east and Rio road on the west",,,,,,,,,,,,,,,,,,
51003010800,51,3,10800,108,Census Tract 108,Albemarle High School,"the western Places 29 South Neighborhood, containing Albemarle High School and the Ivy Creek Natural Area",,,,,,,,,,,,,,,,,,
51003010901,51,3,10901,109.01,Census Tract 109.01,"UVA campus - Darden School, JPJ Arena","includes the Darden School , John Paul Jones Arena",,,,,,,,,,,,,,,,,,
51003010902,51,3,10902,109.02,Census Tract 109.02,"UVA campus - Hereford College, University Heights",includes Hereford College and University Heights,,,,,,,,,,,,,,,,,,
51003010903,51,3,10903,109.03,Census Tract 109.03,"UVA campus - Rotunda, Carr's Hill","includes McCormick Road, the Rotunda and Carr's Hill",,,,,,,,,,,,,,,,,,
51003011000,51,3,11000,110,Census Tract 110,Ivy,"includes Ivy, large portion of Ragged Mountain Natural Area, Owensville Rd and Decca Ln",,,,,,,,,,,,,,,,,,
51003011100,51,3,11100,111,Census Tract 111,Crozet,"includes Crozet, Beaver Creek Park, Rockfish Gap Turnpike",,,,,,,,,,,,,,,,,,
51003011201,51,3,11201,112.01,Census Tract 112.01,"Yancey Mills, Batesville",in the southwestern corner of the county,,,,,,,,,,,,,,,,,,
51003011202,51,3,11202,112.02,Census Tract 112.02,North Garden,stretching from the soutwhest corner of Charlottesville down to North Garden,,,,,,,,,,,,,,,,,,
51003011301,51,3,11301,113.01,Census Tract 113.01,"Monticello, Carters Mountain","northeastern border is Thomas Jefferson Parkway stretching to Buck Island to the east, includes Walnut Creek Park",,,,,,,,,,,,,,,,,,
51003011302,51,3,11302,113.02,Census Tract 113.02,"Oak Hill, Old Lynchburg Rd","Sunset Ave Extd to the west, Biscuit Run (stream) to the east",,,,,,,,,,,,,,,,,,
51003011303,51,3,11303,113.03,Census Tract 113.03,Avon Street Extended,"includes Mountain View Elementary and Mill Creek, bordered by 20 to the east and Biscuit Run (stream) to the west",,,,,,,,,,,,,,,,,,
51003011400,51,3,11400,114,Census Tract 114,Southern Albemarle,"includes Covesville, Esmont/Porters , extends eastern to Town of Scottsville and as far south as Howardsville",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
