region_fips,locality,estimate,moe,total_pop,percent,year,label
003;540,Charlottesville-Albemarle Region,8043,479.00104384019875,100636,7.99,2013,10 to 14 years
003;540,Charlottesville-Albemarle Region,12412,484.7463254115497,100636,12.33,2013,15 to 19 years
003;540,Charlottesville-Albemarle Region,15768,1006.1684749583442,100636,15.67,2013,20 to 24 years
003;540,Charlottesville-Albemarle Region,21247,199.40160480798542,100636,21.11,2013,25 to 34 years
003;540,Charlottesville-Albemarle Region,16813,660.7079536376114,100636,16.71,2013,35 to 44 years
003;540,Charlottesville-Albemarle Region,18391,190.3890753168364,100636,18.27,2013,45 to 54 years
003;540,Charlottesville-Albemarle Region,7596,483.9359461746978,100636,7.55,2013,5 to 9 years
003;540,Charlottesville-Albemarle Region,9490,398.96616397885174,100636,9.43,2013,55 to 59 years
003;540,Charlottesville-Albemarle Region,7502,482.0529016612181,100636,7.45,2013,60 to 64 years
003;540,Charlottesville-Albemarle Region,10007,479.51850850618894,100636,9.94,2013,65 to 74 years
003;540,Charlottesville-Albemarle Region,6293,416.5765235824025,100636,6.25,2013,75 to 84 years
003;540,Charlottesville-Albemarle Region,2750,264.2404208292138,100636,2.73,2013,85 years and over
003;540,Charlottesville-Albemarle Region,7987,90.48204241726643,100636,7.94,2013,Under 5 years
003;540,Charlottesville-Albemarle Region,8557,539.5192304264974,113683,7.53,2023,10 to 14 years
003;540,Charlottesville-Albemarle Region,13072,473.9082189622797,113683,11.5,2023,15 to 19 years
003;540,Charlottesville-Albemarle Region,14515,805.7921568245747,113683,12.77,2023,20 to 24 years
003;540,Charlottesville-Albemarle Region,22031,255.199921630082,113683,19.38,2023,25 to 34 years
003;540,Charlottesville-Albemarle Region,20106,892.8370512025136,113683,17.69,2023,35 to 44 years
003;540,Charlottesville-Albemarle Region,17362,336.33762798711655,113683,15.27,2023,45 to 54 years
003;540,Charlottesville-Albemarle Region,8188,519.3794374058334,113683,7.2,2023,5 to 9 years
003;540,Charlottesville-Albemarle Region,9493,559.463135514754,113683,8.35,2023,55 to 59 years
003;540,Charlottesville-Albemarle Region,9398,674.9414789446564,113683,8.27,2023,60 to 64 years
003;540,Charlottesville-Albemarle Region,16842,764.9111059463054,113683,14.81,2023,65 to 74 years
003;540,Charlottesville-Albemarle Region,8210,551.5895212927817,113683,7.22,2023,75 to 84 years
003;540,Charlottesville-Albemarle Region,3566,369.69582091227375,113683,3.14,2023,85 years and over
003;540,Charlottesville-Albemarle Region,8206,317.4870076081854,113683,7.22,2023,Under 5 years
