region_fips,locality,estimate,moe,pop_25_over,percent,label,year
003;540,Charlottesville-Albemarle Region,54334,1340.7766406079725,102013,53.26,Bachelor's degree or higher,2018
003;540,Charlottesville-Albemarle Region,56894,1167.2073509021436,103293,55.08,Bachelor's degree or higher,2019
003;540,Charlottesville-Albemarle Region,60275,1179.6800413671497,104159,57.87,Bachelor's degree or higher,2020
003;540,Charlottesville-Albemarle Region,62141,1153.0728511243337,105956,58.65,Bachelor's degree or higher,2021
003;540,Charlottesville-Albemarle Region,63601,1340.180584846684,106352,59.8,Bachelor's degree or higher,2022
003;540,Charlottesville-Albemarle Region,64833,1324.071372698617,107008,60.59,Bachelor's degree or higher,2023
003;540,Charlottesville-Albemarle Region,26969,998.8042851329784,102013,26.44,Graduate or professional degree,2018
003;540,Charlottesville-Albemarle Region,28092,912.4845204166479,103293,27.2,Graduate or professional degree,2019
003;540,Charlottesville-Albemarle Region,29550,1163.402337972552,104159,28.37,Graduate or professional degree,2020
003;540,Charlottesville-Albemarle Region,30723,1109.6855410430471,105956,29,Graduate or professional degree,2021
003;540,Charlottesville-Albemarle Region,32224,1121.3652393399752,106352,30.3,Graduate or professional degree,2022
003;540,Charlottesville-Albemarle Region,33668,1354.955718833645,107008,31.46,Graduate or professional degree,2023
003;540,Charlottesville-Albemarle Region,93085,798.3263743607623,102013,91.25,High school graduate or higher,2018
003;540,Charlottesville-Albemarle Region,94811,837.2645937814401,103293,91.79,High school graduate or higher,2019
003;540,Charlottesville-Albemarle Region,95998,774.8296586992524,104159,92.16,High school graduate or higher,2020
003;540,Charlottesville-Albemarle Region,98596,802.7758093017004,105956,93.05,High school graduate or higher,2021
003;540,Charlottesville-Albemarle Region,99243,719.6721475783261,106352,93.32,High school graduate or higher,2022
003;540,Charlottesville-Albemarle Region,100542,584.6605852971448,107008,93.96,High school graduate or higher,2023
