"","locality","estimate","moe","total_pop","percent","year","label"
"1","Combined Region",7477,NA,142707,5.24,2012,"Hispanic or Latino"
"2","Combined Region",7766,NA,144299,5.38,2013,"Hispanic or Latino"
"3","Combined Region",7891,NA,146388,5.39,2014,"Hispanic or Latino"
"4","Combined Region",8088,NA,148192,5.46,2015,"Hispanic or Latino"
"5","Combined Region",8127,NA,149825,5.42,2016,"Hispanic or Latino"
"6","Combined Region",8422,NA,151592,5.56,2017,"Hispanic or Latino"
"7","Combined Region",8699,NA,153397,5.67,2018,"Hispanic or Latino"
"8","Combined Region",8789,NA,154501,5.69,2019,"Hispanic or Latino"
"9","Combined Region",8895,NA,156036,5.7,2020,"Hispanic or Latino"
"10","Combined Region",9187,NA,158035,5.81,2021,"Hispanic or Latino"
"11","Combined Region",9338,NA,158802,5.88,2022,"Hispanic or Latino"
"12","Combined Region",307,94.3027040969664,142707,0.22,2012,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"13","Combined Region",368,88.4816365128946,144299,0.26,2013,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"14","Combined Region",285,129.034879005639,146388,0.19,2014,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"15","Combined Region",261,113.070774296456,148192,0.18,2015,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"16","Combined Region",315,85.5862138431184,149825,0.21,2016,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"17","Combined Region",328,93.2952303175248,151592,0.22,2017,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"18","Combined Region",315,104.019228991567,153397,0.21,2018,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"19","Combined Region",324,114.127122105133,154501,0.21,2019,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"20","Combined Region",406,105.990565617889,156036,0.26,2020,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"21","Combined Region",400,104.201727432898,158035,0.25,2021,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"22","Combined Region",136,67.6239602507869,158802,0.09,2022,"Not Hispanic or Latino: American Indian and Alaska Native alone"
"23","Combined Region",7050,306.424542098051,142707,4.94,2012,"Not Hispanic or Latino: Asian alone"
"24","Combined Region",7143,352.953254695292,144299,4.95,2013,"Not Hispanic or Latino: Asian alone"
"25","Combined Region",7426,324.721419065635,146388,5.07,2014,"Not Hispanic or Latino: Asian alone"
"26","Combined Region",7561,284.613773384213,148192,5.1,2015,"Not Hispanic or Latino: Asian alone"
"27","Combined Region",7878,301.602387258457,149825,5.26,2016,"Not Hispanic or Latino: Asian alone"
"28","Combined Region",8566,272.391262708627,151592,5.65,2017,"Not Hispanic or Latino: Asian alone"
"29","Combined Region",8968,316.741219294237,153397,5.85,2018,"Not Hispanic or Latino: Asian alone"
"30","Combined Region",8871,287.570860832595,154501,5.74,2019,"Not Hispanic or Latino: Asian alone"
"31","Combined Region",9215,349.244899748013,156036,5.91,2020,"Not Hispanic or Latino: Asian alone"
"32","Combined Region",9431,347.220391106283,158035,5.97,2021,"Not Hispanic or Latino: Asian alone"
"33","Combined Region",9518,330.219623886891,158802,5.99,2022,"Not Hispanic or Latino: Asian alone"
"34","Combined Region",17998,437.248213261072,142707,12.61,2012,"Not Hispanic or Latino: Black or African American alone"
"35","Combined Region",17888,418.437570014931,144299,12.4,2013,"Not Hispanic or Latino: Black or African American alone"
"36","Combined Region",18110,441.617481538039,146388,12.37,2014,"Not Hispanic or Latino: Black or African American alone"
"37","Combined Region",18203,455.846465380615,148192,12.28,2015,"Not Hispanic or Latino: Black or African American alone"
"38","Combined Region",18207,436.464202426728,149825,12.15,2016,"Not Hispanic or Latino: Black or African American alone"
"39","Combined Region",18691,469.691388041126,151592,12.33,2017,"Not Hispanic or Latino: Black or African American alone"
"40","Combined Region",19087,349.326494844007,153397,12.44,2018,"Not Hispanic or Latino: Black or African American alone"
"41","Combined Region",18963,389.744788291005,154501,12.27,2019,"Not Hispanic or Latino: Black or African American alone"
"42","Combined Region",18652,396.364731024343,156036,11.95,2020,"Not Hispanic or Latino: Black or African American alone"
"43","Combined Region",18060,461.736938093543,158035,11.43,2021,"Not Hispanic or Latino: Black or African American alone"
"44","Combined Region",17805,534.753214109088,158802,11.21,2022,"Not Hispanic or Latino: Black or African American alone"
"45","Combined Region",27,44.6878059430087,142707,0.02,2012,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"46","Combined Region",51,49.1934955049954,144299,0.04,2013,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"47","Combined Region",79,72.1110255092798,146388,0.05,2014,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"48","Combined Region",86,88.6453608487212,148192,0.06,2015,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"49","Combined Region",100,89.1571646027396,149825,0.07,2016,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"50","Combined Region",59,50.1597448159378,151592,0.04,2017,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"51","Combined Region",53,46.4004310324807,153397,0.03,2018,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"52","Combined Region",72,63.7808748764079,154501,0.05,2019,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"53","Combined Region",53,29.1204395571221,156036,0.03,2020,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"54","Combined Region",66,88.4590300647707,158035,0.04,2021,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"55","Combined Region",34,55.5697759577992,158802,0.02,2022,"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone"
"56","Combined Region",338,252.958494619177,142707,0.24,2012,"Not Hispanic or Latino: Some other race alone"
"57","Combined Region",394,285.098228686185,144299,0.27,2013,"Not Hispanic or Latino: Some other race alone"
"58","Combined Region",419,332.385318568676,146388,0.29,2014,"Not Hispanic or Latino: Some other race alone"
"59","Combined Region",323,277.953233476425,148192,0.22,2015,"Not Hispanic or Latino: Some other race alone"
"60","Combined Region",320,271.812435329953,149825,0.21,2016,"Not Hispanic or Latino: Some other race alone"
"61","Combined Region",208,151.832144159266,151592,0.14,2017,"Not Hispanic or Latino: Some other race alone"
"62","Combined Region",170,125,153397,0.11,2018,"Not Hispanic or Latino: Some other race alone"
"63","Combined Region",200,109.178752511649,154501,0.13,2019,"Not Hispanic or Latino: Some other race alone"
"64","Combined Region",348,171.011695506477,156036,0.22,2020,"Not Hispanic or Latino: Some other race alone"
"65","Combined Region",464,202.200395647486,158035,0.29,2021,"Not Hispanic or Latino: Some other race alone"
"66","Combined Region",557,246.844080342227,158802,0.35,2022,"Not Hispanic or Latino: Some other race alone"
"67","Combined Region",3339,541.42497171815,142707,2.34,2012,"Not Hispanic or Latino: Two or more races"
"68","Combined Region",3435,582.103942608191,144299,2.38,2013,"Not Hispanic or Latino: Two or more races"
"69","Combined Region",3679,493.758037909258,146388,2.51,2014,"Not Hispanic or Latino: Two or more races"
"70","Combined Region",3909,503.707256251089,148192,2.64,2015,"Not Hispanic or Latino: Two or more races"
"71","Combined Region",4096,549.508871629931,149825,2.73,2016,"Not Hispanic or Latino: Two or more races"
"72","Combined Region",3625,518.3483384752,151592,2.39,2017,"Not Hispanic or Latino: Two or more races"
"73","Combined Region",3347,493.315314986267,153397,2.18,2018,"Not Hispanic or Latino: Two or more races"
"74","Combined Region",3665,509.242574810866,154501,2.37,2019,"Not Hispanic or Latino: Two or more races"
"75","Combined Region",4091,516.003875954435,156036,2.62,2020,"Not Hispanic or Latino: Two or more races"
"76","Combined Region",4819,604.069532421558,158035,3.05,2021,"Not Hispanic or Latino: Two or more races"
"77","Combined Region",5834,699.706366985466,158802,3.67,2022,"Not Hispanic or Latino: Two or more races"
"78","Combined Region",106171,249.064248739156,142707,74.4,2012,"Not Hispanic or Latino: White alone"
"79","Combined Region",107254,278.949816275258,144299,74.33,2013,"Not Hispanic or Latino: White alone"
"80","Combined Region",108499,311.00643080168,146388,74.12,2014,"Not Hispanic or Latino: White alone"
"81","Combined Region",109761,258.278919000371,148192,74.07,2015,"Not Hispanic or Latino: White alone"
"82","Combined Region",110782,263.491935360458,149825,73.94,2016,"Not Hispanic or Latino: White alone"
"83","Combined Region",111693,104.785495179438,151592,73.68,2017,"Not Hispanic or Latino: White alone"
"84","Combined Region",112758,133.416640641263,153397,73.51,2018,"Not Hispanic or Latino: White alone"
"85","Combined Region",113617,90.6035319399857,154501,73.54,2019,"Not Hispanic or Latino: White alone"
"86","Combined Region",114376,169.011833905203,156036,73.3,2020,"Not Hispanic or Latino: White alone"
"87","Combined Region",115608,228.114006584427,158035,73.15,2021,"Not Hispanic or Latino: White alone"
"88","Combined Region",115580,361.386219991853,158802,72.78,2022,"Not Hispanic or Latino: White alone"
