region_fips,locality,group,estimate_insured,moe_insured,estimate_uninsured,moe_uninsured,total_est,percent_insured,percent_uninsured,year
003;540,Charlottesville-Albemarle Region,All,137542,1099.045494963698,12074,958.8456601560024,149616,91.93,8.07,2017
003;540,Charlottesville-Albemarle Region,All,139471,1133.5347370063257,11917,1030.600310498692,151388,92.13,7.87,2018
003;540,Charlottesville-Albemarle Region,All,141641,1043.7552395078071,11061,987.4943037810395,152702,92.76,7.24,2019
003;540,Charlottesville-Albemarle Region,All,143589,1122.3123451161,10716,1090.319677892681,154305,93.06,6.94,2020
003;540,Charlottesville-Albemarle Region,All,146887,1012.4332076734742,9563,971.6398509736002,156450,93.89,6.11,2021
003;540,Charlottesville-Albemarle Region,All,147705,939.6621733367796,9300,959.9088498394001,157005,94.08,5.92,2022
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,309,105.89145385724005,40,64.40496875241847,349,88.54,11.46,2017
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,307,120.96693763173474,38,58.180752831155424,345,88.99,11.01,2018
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,334,129.71121771072848,50,55.21775076911409,384,86.98,13.02,2019
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,405,129.65338406690356,56,58.89821729050889,461,87.85,12.15,2020
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,385,126.24183141890805,61,64.20280367709809,446,86.32,13.68,2021
003;540,Charlottesville-Albemarle Region,American Indian and Alaska Native alone,179,90.35485598461214,15,36.235341863986875,194,92.27,7.73,2022
003;540,Charlottesville-Albemarle Region,Asian alone,8099,283.74812774712717,461,110.43550153822818,8560,94.61,5.39,2017
003;540,Charlottesville-Albemarle Region,Asian alone,8423,301.2308085173228,532,147.87156589419075,8955,94.06,5.94,2018
003;540,Charlottesville-Albemarle Region,Asian alone,8424,317.6948221170751,472,138.69751259485514,8896,94.69,5.31,2019
003;540,Charlottesville-Albemarle Region,Asian alone,8610,414.2475105537751,675,205.5164227014474,9285,92.73,7.27,2020
003;540,Charlottesville-Albemarle Region,Asian alone,8878,361.61996626292637,575,211.00947846009194,9453,93.92,6.08,2021
003;540,Charlottesville-Albemarle Region,Asian alone,8781,418.1985174531349,765,257.6140524117425,9546,91.99,8.01,2022
003;540,Charlottesville-Albemarle Region,Black or African American alone,15698,623.1380264435802,2768,534.0346430710277,18466,85.01,14.99,2017
003;540,Charlottesville-Albemarle Region,Black or African American alone,16181,610.2827213677281,2600,533.8773267333986,18781,86.16,13.84,2018
003;540,Charlottesville-Albemarle Region,Black or African American alone,15995,646.7155479807177,2613,517.6330746774205,18608,85.96,14.04,2019
003;540,Charlottesville-Albemarle Region,Black or African American alone,16064,666.1486320634457,2166,556.7521890392529,18230,88.12,11.88,2020
003;540,Charlottesville-Albemarle Region,Black or African American alone,16007,658.5590330410782,1676,470.1159431459435,17683,90.52,9.48,2021
003;540,Charlottesville-Albemarle Region,Black or African American alone,15794,670.672796525996,1630,450.5652006091904,17424,90.65,9.35,2022
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6203,529.4317708638196,2112,522.0823689802213,8315,74.6,25.4,2017
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6352,474.3047543510396,2250,471.00955404322747,8602,73.84,26.16,2018
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6605,519.0240842196054,2049,517.9362895183152,8654,76.32,23.68,2019
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6455,517.0928349919384,2311,519.2003466870954,8766,73.64,26.36,2020
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6750,489.6386422659061,2295,496.38392399432115,9045,74.63,25.37,2021
003;540,Charlottesville-Albemarle Region,Hispanic or Latino,6774,491.6197717748952,2392,517.7460767596409,9166,73.9,26.1,2022
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,59,50.15974481593781,0,37.53664875824692,59,100,0,2017
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,53,46.400431032480725,0,37.53664875824692,53,100,0,2018
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,72,63.7808748764079,0,38.948684188300895,72,100,0,2019
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,53,29.120439557122072,0,40.36087214122113,53,100,0,2020
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,66,88.45903006477066,0,41.773197148410844,66,100,0,2021
003;540,Charlottesville-Albemarle Region,Native Hawaiian and Other Pacific Islander alone,34,55.569775957799216,0,41.773197148410844,34,100,0,2022
003;540,Charlottesville-Albemarle Region,Some other race alone,953,343.68153863715173,533,368.26620806150544,1486,64.13,35.87,2017
003;540,Charlottesville-Albemarle Region,Some other race alone,782,246.4000811688178,491,312.0032051117424,1273,61.43,38.57,2018
003;540,Charlottesville-Albemarle Region,Some other race alone,729,264.42579299304373,250,242.3984323381651,979,74.46,25.54,2019
003;540,Charlottesville-Albemarle Region,Some other race alone,941,307.8830946966722,354,285.2805636562014,1295,72.66,27.34,2020
003;540,Charlottesville-Albemarle Region,Some other race alone,1170,396.24361193588976,437,277.41665415039523,1607,72.81,27.19,2021
003;540,Charlottesville-Albemarle Region,Some other race alone,1614,427.47748478721076,664,371.05794695707567,2278,70.85,29.15,2022
003;540,Charlottesville-Albemarle Region,Two or more races,3642,488.66859935952505,250,116.8289347721702,3892,93.58,6.42,2017
003;540,Charlottesville-Albemarle Region,Two or more races,3315,495.036362300791,261,124.86793023030373,3576,92.7,7.3,2018
003;540,Charlottesville-Albemarle Region,Two or more races,3715,511.97656196353364,187,124.53513560437472,3902,95.21,4.79,2019
003;540,Charlottesville-Albemarle Region,Two or more races,4820,563.434113273238,368,201.0994778710278,5188,92.91,7.09,2020
003;540,Charlottesville-Albemarle Region,Two or more races,6157,654.8473104472523,509,226.51490017215204,6666,92.36,7.64,2021
003;540,Charlottesville-Albemarle Region,Two or more races,7905,828.0108694938732,624,252.5173261382276,8529,92.68,7.32,2022
003;540,Charlottesville-Albemarle Region,White alone,108782,956.3184616015734,8022,788.5106213615642,116804,93.13,6.87,2017
003;540,Charlottesville-Albemarle Region,White alone,110410,951.7168696624012,7995,862.5340572986089,118405,93.25,6.75,2018
003;540,Charlottesville-Albemarle Region,White alone,112372,921.3756020212387,7489,853.1412544239084,119861,93.75,6.25,2019
003;540,Charlottesville-Albemarle Region,White alone,112696,968.2819837216842,7097,888.8312550760128,119793,94.08,5.92,2020
003;540,Charlottesville-Albemarle Region,White alone,114224,887.3043446304092,6305,775.4695351849742,120529,94.77,5.23,2021
003;540,Charlottesville-Albemarle Region,White alone,113398,920.5482062336552,5602,769.2593840831582,119000,95.29,4.71,2022
003;540,Charlottesville-Albemarle Region,White non Hispanic,103858,799.1651894320723,6461,621.6148325128672,110319,94.14,5.86,2017
003;540,Charlottesville-Albemarle Region,White non Hispanic,105092,923.2361561377458,6255,720.1756730131892,111347,94.38,5.62,2018
003;540,Charlottesville-Albemarle Region,White non Hispanic,106746,774.7231763668879,5740,719.6367139050092,112486,94.9,5.1,2019
003;540,Charlottesville-Albemarle Region,White non Hispanic,107963,818.6049108086269,5371,752.6486564128046,113334,95.26,4.74,2020
003;540,Charlottesville-Albemarle Region,White non Hispanic,109859,685.6391179038723,4798,607.3787944931894,114657,95.82,4.18,2021
003;540,Charlottesville-Albemarle Region,White non Hispanic,110175,697.3184351499679,4293,635.4982297378963,114468,96.25,3.75,2022
