"","locality","estimate","moe","total_pop","percent","year","label"
"1","Combined Region",499,194.833262047321,142707,0.35,2012,"American Indian and Alaska Native alone"
"2","Combined Region",577,199.649693212887,144299,0.4,2013,"American Indian and Alaska Native alone"
"3","Combined Region",388,188.95766721676,146388,0.27,2014,"American Indian and Alaska Native alone"
"4","Combined Region",346,156.118544702415,148192,0.23,2015,"American Indian and Alaska Native alone"
"5","Combined Region",413,134.629120178363,149825,0.28,2016,"American Indian and Alaska Native alone"
"6","Combined Region",357,107.424392015966,151592,0.24,2017,"American Indian and Alaska Native alone"
"7","Combined Region",354,118.431414751323,153397,0.23,2018,"American Indian and Alaska Native alone"
"8","Combined Region",386,131.034346642398,154501,0.25,2019,"American Indian and Alaska Native alone"
"9","Combined Region",462,124.169239346949,156036,0.3,2020,"American Indian and Alaska Native alone"
"10","Combined Region",447,118.701305805791,158035,0.28,2021,"American Indian and Alaska Native alone"
"11","Combined Region",195,95.7078889120432,158802,0.12,2022,"American Indian and Alaska Native alone"
"12","Combined Region",7058,306.066986132121,142707,4.95,2012,"Asian alone"
"13","Combined Region",7157,351.774075224426,144299,4.96,2013,"Asian alone"
"14","Combined Region",7453,328.013719225279,146388,5.09,2014,"Asian alone"
"15","Combined Region",7582,284.007042166211,148192,5.12,2015,"Asian alone"
"16","Combined Region",7897,302.800264200677,149825,5.27,2016,"Asian alone"
"17","Combined Region",8588,267.320032919346,151592,5.67,2017,"Asian alone"
"18","Combined Region",8988,321.474726844895,153397,5.86,2018,"Asian alone"
"19","Combined Region",8917,295.325244433997,154501,5.77,2019,"Asian alone"
"20","Combined Region",9294,363.637181817261,156036,5.96,2020,"Asian alone"
"21","Combined Region",9461,348.726253671845,158035,5.99,2021,"Asian alone"
"22","Combined Region",9556,334.200538599207,158802,6.02,2022,"Asian alone"
"23","Combined Region",18412,504.905931832851,142707,12.9,2012,"Black or African American alone"
"24","Combined Region",18253,465.241872578125,144299,12.65,2013,"Black or African American alone"
"25","Combined Region",18359,467.61629569552,146388,12.54,2014,"Black or African American alone"
"26","Combined Region",18331,476.1701376609,148192,12.37,2015,"Black or African American alone"
"27","Combined Region",18248,438.693514882543,149825,12.18,2016,"Black or African American alone"
"28","Combined Region",18834,473.519798952483,151592,12.42,2017,"Black or African American alone"
"29","Combined Region",19195,360.624458405139,153397,12.51,2018,"Black or African American alone"
"30","Combined Region",19089,419.886889530978,154501,12.36,2019,"Black or African American alone"
"31","Combined Region",18765,414.540709701713,156036,12.03,2020,"Black or African American alone"
"32","Combined Region",18155,464.021551223647,158035,11.49,2021,"Black or African American alone"
"33","Combined Region",17911,545.949631376375,158802,11.28,2022,"Black or African American alone"
"34","Combined Region",27,44.6878059430087,142707,0.02,2012,"Native Hawaiian and Other Pacific Islander alone"
"35","Combined Region",51,49.1934955049954,144299,0.04,2013,"Native Hawaiian and Other Pacific Islander alone"
"36","Combined Region",79,72.1110255092798,146388,0.05,2014,"Native Hawaiian and Other Pacific Islander alone"
"37","Combined Region",86,88.6453608487212,148192,0.06,2015,"Native Hawaiian and Other Pacific Islander alone"
"38","Combined Region",100,89.1571646027396,149825,0.07,2016,"Native Hawaiian and Other Pacific Islander alone"
"39","Combined Region",59,50.1597448159378,151592,0.04,2017,"Native Hawaiian and Other Pacific Islander alone"
"40","Combined Region",53,46.4004310324807,153397,0.03,2018,"Native Hawaiian and Other Pacific Islander alone"
"41","Combined Region",72,63.7808748764079,154501,0.05,2019,"Native Hawaiian and Other Pacific Islander alone"
"42","Combined Region",53,29.1204395571221,156036,0.03,2020,"Native Hawaiian and Other Pacific Islander alone"
"43","Combined Region",66,88.4590300647707,158035,0.04,2021,"Native Hawaiian and Other Pacific Islander alone"
"44","Combined Region",34,55.5697759577992,158802,0.02,2022,"Native Hawaiian and Other Pacific Islander alone"
"45","Combined Region",1542,509.784268097791,142707,1.08,2012,"Some Other Race alone"
"46","Combined Region",1421,471.872864233577,144299,0.98,2013,"Some Other Race alone"
"47","Combined Region",1413,469.703097711735,146388,0.97,2014,"Some Other Race alone"
"48","Combined Region",1529,486.137840534966,148192,1.03,2015,"Some Other Race alone"
"49","Combined Region",1803,545.641823910154,149825,1.2,2016,"Some Other Race alone"
"50","Combined Region",1526,466.567251315392,151592,1.01,2017,"Some Other Race alone"
"51","Combined Region",1300,366.006830537355,153397,0.85,2018,"Some Other Race alone"
"52","Combined Region",1008,375.046663763324,154501,0.65,2019,"Some Other Race alone"
"53","Combined Region",1325,463.643181768049,156036,0.85,2020,"Some Other Race alone"
"54","Combined Region",1663,469.162018923101,158035,1.05,2021,"Some Other Race alone"
"55","Combined Region",2366,594.428296769257,158802,1.49,2022,"Some Other Race alone"
"56","Combined Region",3796,568.383673234902,142707,2.66,2012,"Two or More Races"
"57","Combined Region",3879,663.898335590623,144299,2.69,2013,"Two or More Races"
"58","Combined Region",4156,531.874045240036,146388,2.84,2014,"Two or More Races"
"59","Combined Region",4372,528.577335874326,148192,2.95,2015,"Two or More Races"
"60","Combined Region",4408,576.284651886548,149825,2.94,2016,"Two or More Races"
"61","Combined Region",4007,522.56674214879,151592,2.64,2017,"Two or More Races"
"62","Combined Region",3640,526.780789323225,153397,2.37,2018,"Two or More Races"
"63","Combined Region",3951,523.327813134368,154501,2.56,2019,"Two or More Races"
"64","Combined Region",5220,607.474279290901,156036,3.35,2020,"Two or More Races"
"65","Combined Region",6697,717.965180214194,158035,4.24,2021,"Two or More Races"
"66","Combined Region",8569,935.256649267996,158802,5.4,2022,"Two or More Races"
"67","Combined Region",111373,644.177770495071,142707,78.04,2012,"White alone"
"68","Combined Region",112961,559.660611442328,144299,78.28,2013,"White alone"
"69","Combined Region",114540,550.847528813555,146388,78.24,2014,"White alone"
"70","Combined Region",115946,540.645910000251,148192,78.24,2015,"White alone"
"71","Combined Region",116956,615.56478131875,149825,78.06,2016,"White alone"
"72","Combined Region",118221,500.352875478896,151592,77.99,2017,"White alone"
"73","Combined Region",119867,402.060940654523,153397,78.14,2018,"White alone"
"74","Combined Region",121078,411.92839183528,154501,78.37,2019,"White alone"
"75","Combined Region",120917,493.745886058811,156036,77.49,2020,"White alone"
"76","Combined Region",121546,592.871824258836,158035,76.91,2021,"White alone"
"77","Combined Region",120171,770.532932456491,158802,75.67,2022,"White alone"
