st,county,tract,life_exp,le_low,le_hi,tract_num
51,003,101,83,80.8,85.3,010100
51,003,102.01,81.5,79.1,84,010201
51,003,102.02,,,,010202
51,003,103,82.6,80.8,84.4,010300
51,003,104.01,83,80.5,85.5,010401
51,003,104.02,84.4,82,86.8,010402
51,003,105,82,80.2,83.8,010500
51,003,106.01,82.7,81.3,84.1,010601
51,003,106.02,82.7,81.3,84.1,010602
51,003,107,77.4,75.7,79,010700
51,003,108,80.6,78.6,82.6,010800
51,003,109.01,,,,010901
51,003,109.02,,,,010902
51,003,109.03,,,,010903
51,003,110,83.7,81.6,85.8,011000
51,003,111,80.6,78.9,82.2,011100
51,003,112.01,81.1,78.6,83.7,011201
51,003,112.02,82.6,80.3,84.8,011202
51,003,113.01,81,78.7,83.3,011301
51,003,113.02,82.7,80.4,84.9,011302
51,003,113.03,82.7,80.4,84.9,011303
51,003,114,80.8,78.7,82.8,011400
51,540,2.01,77,74.5,79.5,000201
51,540,2.02,77,74.5,79.5,000202
51,540,3.02,81.8,78.8,84.9,000302
51,540,4.01,73.6,71.4,75.9,000401
51,540,4.02,75.6,73.3,77.9,000402
51,540,5.01,75.6,72.8,78.3,000501
51,540,5.02,81.7,79.3,84,000502
51,540,6,82.7,79.6,85.9,000600
51,540,7,82.7,79.6,85.9,000700
51,540,8,79.8,77.5,82,000800
51,540,9,84.1,80.8,87.4,000900
51,540,10,81.9,78.8,85,001000
