fips,life_expectancy,year,place
51000,78.138375703,2024,Virginia
51003,81.905358302,2024,Albemarle
51540,78.692114048,2024,Charlottesville
51000,79.066031582,2023,Virginia
51003,82.247062966,2023,Albemarle
51540,80.043883107,2023,Charlottesville
51000,79.066031582,2022,Virginia
51003,82.247062966,2022,Albemarle
51540,80.043883107,2022,Charlottesville
51000,79.54983651,2021,Virginia
51003,82.701359689,2021,Albemarle
51540,79.835341122,2021,Charlottesville
51000,79.478556461,2020,Virginia
51003,83.0042709,2020,Albemarle
51540,79.751236188,2020,Charlottesville
51000,79.440476252,2019,Virginia
51003,83.131806002,2019,Albemarle
51540,79.091139165,2019,Charlottesville
51000,NA,2018,Virginia
51003,NA,2018,Albemarle
51540,NA,2018,Charlottesville
51000,NA,2017,Virginia
51003,NA,2017,Albemarle
51540,NA,2017,Charlottesville
51000,NA,2016,Virginia
51003,NA,2016,Albemarle
51540,NA,2016,Charlottesville
51000,NA,2016,Virginia
51003,NA,2016,Albemarle
51540,NA,2016,Charlottesville
