region,year,pc_docs,mh_docs,soc_assoc,population,num_exer_access,exer_access_per,pc_docs_rate,mh_docs_rate,soc_assoc_rate
Region,2016,540,898,394,300164,NA,NA,179.90165376260975,299.16978718300663,13.126157700457084
Region,2017,283,480,205,152300,NA,NA,185.81746552856205,315.16743269862116,13.46027577150361
Region,2018,287,505,213,153790,NA,NA,186.61811561219844,328.3698549970739,13.850055270173614
Region,2019,300,539,210,155721,NA,NA,192.6522434353748,346.13186403889006,13.485657040476235
Region,2020,299,576,211,156835,132243.00377924828,84.31982897902144,190.64622055025984,367.26495998979823,13.4536296107374
Region,2021,294,605,214,156596,131865.56946582178,84.20749538035568,187.74425911262102,386.3444787861759,13.665738588469694
Region,2022,293,668,215,157602,125678.72470458323,79.74437171138896,185.9113463027119,423.85248918160937,13.641958858390122
Region,2023,290,709,207,159207,138574.83331111516,87.04066612090872,182.15279478917384,445.33217760525605,13.001940869434133
Region,2024,288,765,225,159907,135897.60835404618,84.98540298676492,180.10468584864952,478.40307178547533,14.070678581925744
State,2016,12307,20987,18590,16652578,NA,NA,73.9044729290564,126.02853444073344,11.163436676291202
State,2017,6321,11479,9354,8382993,NA,NA,75.40266346399191,136.93200030108576,11.15830586999178
State,2018,6368,12294,9426,8411808,NA,NA,75.70310687072268,146.1516953311345,11.205676591762437
State,2019,6423,13494,9437,8470020,NA,NA,75.83217040809821,159.31485403812508,11.141650196811815
State,2020,6420,14897,9639,8517685,7015057.453915552,82.358733082,75.3725924356207,174.89493917654855,11.316455116619128
State,2021,6428,16061,9600,8535519,7029745.310373396,82.358733082,75.30883593604561,188.1666480972042,11.247119243715584
State,2022,6514,17743,9541,8590563,6684712.42785346,77.814602231,75.82739338504356,206.54059576770462,11.106373354109621
State,2023,6486,19342,9446,8642274,7204438.702601834,83.362766589,75.04969178251001,223.8068360248703,10.929993656762099
State,2024,6443,21124,9545,8683619,7263751.472716766,83.648896534,74.1971751639495,243.2626304769935,10.991960840290206
