live,work,year,workers,percent_all,percent_work,percent_live
outside,rural,2022,3930,0.03852148087158526,0.5372522214627478,0.0910396590066716
outside,urban,2022,39238,0.3846070906970134,0.5164593616321158,0.9089603409933283
rural,outside,2022,6250,0.06126189706040913,0.3336714537397897,0.3269341423863577
rural,rural,2022,1984,0.019446976602856273,0.2712235133287765,0.10378197415912539
rural,urban,2022,10883,0.10667411611334922,0.14324448831852582,0.569283883454517
urban,outside,2022,12481,0.12233755795375462,0.6663285462602103,0.31409804711093214
urban,rural,2022,1401,0.013732466845061311,0.19152426520847574,0.035257700825447956
urban,urban,2022,25854,0.2534184138559708,0.3402961500493583,0.6506442520636199
outside,rural,2012,2740,0.030205818478464576,0.5015559216547685,0.07651921358355675
outside,urban,2012,33068,0.3645423377539659,0.4726565850032875,0.9234807864164433
rural,outside,2012,5342,0.058890322011663415,0.34947010336255396,0.2799937103621783
rural,rural,2012,1697,0.018707764218231525,0.3106351821343584,0.088945961528382
rural,urban,2012,12040,0.13272921696376405,0.1720934221434493,0.6310603281094397
urban,outside,2012,9944,0.1096228682298729,0.650529896637446,0.2775792764627066
urban,rural,2012,1026,0.011310645897410458,0.18780889621087316,0.028640017865118356
urban,urban,2012,24854,0.2739910264466272,0.3552499928532632,0.6937807056721751
outside,rural,2002,2635,0.03825549151410444,0.5383043922369765,0.09187587168758717
outside,urban,2002,26045,0.37812686014605323,0.482404148916466,0.9081241283124128
rural,outside,2002,2997,0.043511084655700576,0.29987992795677404,0.28027681660899656
rural,rural,2002,1006,0.014605322376921848,0.20551583248212463,0.09408023940895913
rural,urban,2002,6690,0.09712684562784013,0.12391183552509724,0.6256429439820443
urban,outside,2002,6997,0.101583937049028,0.7001200720432259,0.23713820917779435
urban,rural,2002,1254,0.01820583922530815,0.25617977528089886,0.04249983054294042
urban,urban,2002,21255,0.3085846194050436,0.39368401555843674,0.7203619602792652
