co_c_number,co_c_name,count_types,overall_homeless,sheltered_es_homeless,sheltered_th_homeless,sheltered_sh_homeless,sheltered_total_homeless,unsheltered_homeless,year
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,125,92,14,0,106,19,2024
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,191,143,14,0,157,34,2023
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,266,231,9,0,240,26,2022
VA-504,Charlottesville CoC,Sheltered and Partial Unsheltered Count,177,144,5,0,149,28,2021
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,188,149,13,0,162,26,2020
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,165,125,14,0,139,26,2019
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,183,134,21,0,155,28,2018
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,160,115,22,0,137,23,2017
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,157,101,34,0,135,22,2016
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,185,113,47,0,160,25,2015
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,204,128,50,0,178,26,2014
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,195,128,39,0,167,28,2013
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,191,125,39,0,164,27,2012
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,213,135,60,0,195,18,2011
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,228,160,41,0,201,27,2010
VA-504,Charlottesville CoC,NA,199,135,50,NA,185,14,2009
VA-504,Charlottesville CoC,NA,239,156,68,NA,224,15,2008
VA-504,Charlottesville CoC,NA,265,152,85,NA,237,28,2007
