state,puma12,puma22,stab,PUMA12name,PUMA22name,pop20,afact,AFACT2
State code,PUMA (2012),PUMA (2022),State abbr.,PUMA12 name,PUMA22 name,Total population (2020 Census),puma12-to-puma22 allocation factor,puma22-to-puma12 allocation factor
1,100,100,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","Lauderdale, Colbert & Franklin Counties",182904,0.962,1
1,100,1000,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties","Cullman, Marion & Winston Counties",7230,0.038,0.0514
1,200,200,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),Limestone County,103570,0.4884,1
1,200,401,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),Madison County (North & East)--Huntsville City (East),90998,0.4291,0.799
1,200,402,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),"Huntsville (North & Far West), Madison (East) & Triana Cities",16741,0.0789,0.1093
1,200,403,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),Huntsville City (Central & South),737,0.0035,0.0068
1,301,402,AL,Huntsville (North) & Madison (East) Cities,"Huntsville (North & Far West), Madison (East) & Triana Cities",136356,1,0.8907
1,302,403,AL,Huntsville City (Central & South),Huntsville City (Central & South),105607,0.9999,0.9777
1,302,501,AL,Huntsville City (Central & South),Marshall & Madison (Far Southeast) Counties,14,0.0001,0.0001
1,400,600,AL,DeKalb & Jackson Counties,DeKalb & Jackson Counties,124187,1,1
1,500,401,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),Madison County (North & East)--Huntsville City (East),22892,0.1692,0.201
1,500,403,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),Huntsville City (Central & South),1676,0.0124,0.0155
1,500,501,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),Marshall & Madison (Far Southeast) Counties,110744,0.8184,0.9999
1,600,300,AL,Morgan & Lawrence Counties--Decatur City,Morgan & Lawrence Counties--Decatur City,156494,1,1
1,700,1000,AL,Cullman & Winston Counties,"Cullman, Marion & Winston Counties",111406,1,0.7915
1,800,900,AL,St. Clair & Blount Counties,St. Clair & Blount Counties,150237,0.9964,1
1,800,1402,AL,St. Clair & Blount Counties,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",545,0.0036,0.0041
1,900,700,AL,Etowah County,Etowah & Cherokee Counties,103436,1,0.8055
1,1000,700,AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",Etowah & Cherokee Counties,24971,0.1577,0.1945
1,1000,1600,AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties","Talladega, Randolph, Cleburne & Clay Counties",133408,0.8423,1
1,1100,800,AL,Calhoun County,Calhoun County,116441,1,1
1,1200,1401,AL,Shelby County,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",389,0.0017,0.0033
1,1200,1404,AL,Shelby County,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",1798,0.008,0.0097
